country,year,tiv
African Union**,1950,
African Union**,1951,
African Union**,1952,
African Union**,1953,
African Union**,1954,
African Union**,1955,
African Union**,1956,
African Union**,1957,
African Union**,1958,
African Union**,1959,
African Union**,1960,
African Union**,1961,
African Union**,1962,
African Union**,1963,
African Union**,1964,
African Union**,1965,
African Union**,1966,
African Union**,1967,
African Union**,1968,
African Union**,1969,
African Union**,1970,
African Union**,1971,
African Union**,1972,
African Union**,1973,
African Union**,1974,
African Union**,1975,
African Union**,1976,
African Union**,1977,
African Union**,1978,
African Union**,1979,
African Union**,1980,
African Union**,1981,
African Union**,1982,
African Union**,1983,
African Union**,1984,
African Union**,1985,
African Union**,1986,
African Union**,1987,
African Union**,1988,
African Union**,1989,
African Union**,1990,
African Union**,1991,
African Union**,1992,
African Union**,1993,
African Union**,1994,
African Union**,1995,
African Union**,1996,
African Union**,1997,
African Union**,1998,
African Union**,1999,
African Union**,2000,
African Union**,2001,
African Union**,2002,
African Union**,2003,
African Union**,2004,
African Union**,2005,
African Union**,2006,
African Union**,2007,
African Union**,2008,
African Union**,2009,
African Union**,2010,
African Union**,2011,
African Union**,2012,
African Union**,2013,
African Union**,2014,
African Union**,2015,
African Union**,2016,
African Union**,2017,
African Union**,2018,
African Union**,2019,
African Union**,2020,
African Union**,2021,
African Union**,2022,1
African Union**,2023,
African Union**,2024,
African Union**,2025,
