country,year,tiv
Albania,1950,
Albania,1951,
Albania,1952,
Albania,1953,
Albania,1954,
Albania,1955,
Albania,1956,
Albania,1957,
Albania,1958,
Albania,1959,
Albania,1960,
Albania,1961,
Albania,1962,
Albania,1963,
Albania,1964,
Albania,1965,
Albania,1966,
Albania,1967,
Albania,1968,
Albania,1969,
Albania,1970,
Albania,1971,
Albania,1972,
Albania,1973,
Albania,1974,
Albania,1975,
Albania,1976,
Albania,1977,
Albania,1978,
Albania,1979,
Albania,1980,
Albania,1981,
Albania,1982,
Albania,1983,
Albania,1984,
Albania,1985,
Albania,1986,
Albania,1987,
Albania,1988,
Albania,1989,
Albania,1990,
Albania,1991,
Albania,1992,
Albania,1993,
Albania,1994,
Albania,1995,
Albania,1996,
Albania,1997,
Albania,1998,
Albania,1999,
Albania,2000,
Albania,2001,
Albania,2002,
Albania,2003,
Albania,2004,
Albania,2005,
Albania,2006,
Albania,2007,
Albania,2008,
Albania,2009,
Albania,2010,
Albania,2011,1
Albania,2012,
Albania,2013,
Albania,2014,
Albania,2015,
Albania,2016,
Albania,2017,
Albania,2018,
Albania,2019,
Albania,2020,
Albania,2021,
Albania,2022,
Albania,2023,
Albania,2024,
Albania,2025,
