country,year,tiv
Argentina,1950,
Argentina,1951,
Argentina,1952,
Argentina,1953,
Argentina,1954,
Argentina,1955,
Argentina,1956,
Argentina,1957,
Argentina,1958,
Argentina,1959,
Argentina,1960,
Argentina,1961,
Argentina,1962,6
Argentina,1963,
Argentina,1964,4
Argentina,1965,
Argentina,1966,
Argentina,1967,0
Argentina,1968,8
Argentina,1969,
Argentina,1970,0
Argentina,1971,
Argentina,1972,11
Argentina,1973,
Argentina,1974,
Argentina,1975,
Argentina,1976,1
Argentina,1977,
Argentina,1978,
Argentina,1979,8
Argentina,1980,1
Argentina,1981,31
Argentina,1982,7
Argentina,1983,5
Argentina,1984,
Argentina,1985,
Argentina,1986,
Argentina,1987,4
Argentina,1988,0
Argentina,1989,
Argentina,1990,6
Argentina,1991,0
Argentina,1992,
Argentina,1993,13
Argentina,1994,5
Argentina,1995,5
Argentina,1996,
Argentina,1997,
Argentina,1998,
Argentina,1999,
Argentina,2000,2
Argentina,2001,
Argentina,2002,2
Argentina,2003,
Argentina,2004,
Argentina,2005,
Argentina,2006,2
Argentina,2007,
Argentina,2008,
Argentina,2009,
Argentina,2010,
Argentina,2011,1
Argentina,2012,
Argentina,2013,
Argentina,2014,
Argentina,2015,
Argentina,2016,
Argentina,2017,
Argentina,2018,
Argentina,2019,
Argentina,2020,
Argentina,2021,
Argentina,2022,
Argentina,2023,
Argentina,2024,
Argentina,2025,
