country,year,tiv
Australia,1950,
Australia,1951,
Australia,1952,36
Australia,1953,
Australia,1954,
Australia,1955,125
Australia,1956,
Australia,1957,
Australia,1958,
Australia,1959,
Australia,1960,
Australia,1961,2
Australia,1962,4
Australia,1963,
Australia,1964,
Australia,1965,
Australia,1966,
Australia,1967,
Australia,1968,
Australia,1969,26
Australia,1970,17
Australia,1971,36
Australia,1972,6
Australia,1973,72
Australia,1974,92
Australia,1975,131
Australia,1976,113
Australia,1977,62
Australia,1978,21
Australia,1979,22
Australia,1980,15
Australia,1981,17
Australia,1982,26
Australia,1983,31
Australia,1984,62
Australia,1985,10
Australia,1986,57
Australia,1987,89
Australia,1988,12
Australia,1989,18
Australia,1990,156
Australia,1991,84
Australia,1992,
Australia,1993,30
Australia,1994,24
Australia,1995,36
Australia,1996,10
Australia,1997,14
Australia,1998,4
Australia,1999,
Australia,2000,
Australia,2001,43
Australia,2002,47
Australia,2003,44
Australia,2004,2
Australia,2005,49
Australia,2006,26
Australia,2007,53
Australia,2008,57
Australia,2009,86
Australia,2010,137
Australia,2011,143
Australia,2012,45
Australia,2013,54
Australia,2014,94
Australia,2015,79
Australia,2016,136
Australia,2017,101
Australia,2018,39
Australia,2019,129
Australia,2020,406
Australia,2021,175
Australia,2022,19
Australia,2023,81
Australia,2024,73
Australia,2025,108
