country,year,tiv
Austria,1950,
Austria,1951,
Austria,1952,
Austria,1953,
Austria,1954,
Austria,1955,
Austria,1956,
Austria,1957,
Austria,1958,
Austria,1959,
Austria,1960,
Austria,1961,
Austria,1962,
Austria,1963,
Austria,1964,
Austria,1965,
Austria,1966,
Austria,1967,1
Austria,1968,
Austria,1969,
Austria,1970,
Austria,1971,
Austria,1972,
Austria,1973,
Austria,1974,
Austria,1975,
Austria,1976,
Austria,1977,
Austria,1978,37
Austria,1979,126
Austria,1980,54
Austria,1981,70
Austria,1982,61
Austria,1983,58
Austria,1984,60
Austria,1985,248
Austria,1986,40
Austria,1987,30
Austria,1988,12
Austria,1989,12
Austria,1990,30
Austria,1991,20
Austria,1992,20
Austria,1993,10
Austria,1994,17
Austria,1995,
Austria,1996,18
Austria,1997,3
Austria,1998,29
Austria,1999,23
Austria,2000,23
Austria,2001,17
Austria,2002,83
Austria,2003,2
Austria,2004,3
Austria,2005,3
Austria,2006,62
Austria,2007,67
Austria,2008,14
Austria,2009,50
Austria,2010,75
Austria,2011,62
Austria,2012,31
Austria,2013,29
Austria,2014,16
Austria,2015,10
Austria,2016,17
Austria,2017,22
Austria,2018,8
Austria,2019,3
Austria,2020,10
Austria,2021,3
Austria,2022,3
Austria,2023,4
Austria,2024,23
Austria,2025,1
