country,year,tiv
Azerbaijan,1950,
Azerbaijan,1951,
Azerbaijan,1952,
Azerbaijan,1953,
Azerbaijan,1954,
Azerbaijan,1955,
Azerbaijan,1956,
Azerbaijan,1957,
Azerbaijan,1958,
Azerbaijan,1959,
Azerbaijan,1960,
Azerbaijan,1961,
Azerbaijan,1962,
Azerbaijan,1963,
Azerbaijan,1964,
Azerbaijan,1965,
Azerbaijan,1966,
Azerbaijan,1967,
Azerbaijan,1968,
Azerbaijan,1969,
Azerbaijan,1970,
Azerbaijan,1971,
Azerbaijan,1972,
Azerbaijan,1973,
Azerbaijan,1974,
Azerbaijan,1975,
Azerbaijan,1976,
Azerbaijan,1977,
Azerbaijan,1978,
Azerbaijan,1979,
Azerbaijan,1980,
Azerbaijan,1981,
Azerbaijan,1982,
Azerbaijan,1983,
Azerbaijan,1984,
Azerbaijan,1985,
Azerbaijan,1986,
Azerbaijan,1987,
Azerbaijan,1988,
Azerbaijan,1989,
Azerbaijan,1990,
Azerbaijan,1991,
Azerbaijan,1992,
Azerbaijan,1993,
Azerbaijan,1994,
Azerbaijan,1995,
Azerbaijan,1996,
Azerbaijan,1997,
Azerbaijan,1998,
Azerbaijan,1999,
Azerbaijan,2000,
Azerbaijan,2001,
Azerbaijan,2002,
Azerbaijan,2003,
Azerbaijan,2004,
Azerbaijan,2005,
Azerbaijan,2006,
Azerbaijan,2007,
Azerbaijan,2008,
Azerbaijan,2009,
Azerbaijan,2010,
Azerbaijan,2011,
Azerbaijan,2012,
Azerbaijan,2013,
Azerbaijan,2014,
Azerbaijan,2015,
Azerbaijan,2016,
Azerbaijan,2017,
Azerbaijan,2018,
Azerbaijan,2019,
Azerbaijan,2020,
Azerbaijan,2021,
Azerbaijan,2022,
Azerbaijan,2023,2
Azerbaijan,2024,
Azerbaijan,2025,
