country,year,tiv
Bosnia-Herzegovina,1950,
Bosnia-Herzegovina,1951,
Bosnia-Herzegovina,1952,
Bosnia-Herzegovina,1953,
Bosnia-Herzegovina,1954,
Bosnia-Herzegovina,1955,
Bosnia-Herzegovina,1956,
Bosnia-Herzegovina,1957,
Bosnia-Herzegovina,1958,
Bosnia-Herzegovina,1959,
Bosnia-Herzegovina,1960,
Bosnia-Herzegovina,1961,
Bosnia-Herzegovina,1962,
Bosnia-Herzegovina,1963,
Bosnia-Herzegovina,1964,
Bosnia-Herzegovina,1965,
Bosnia-Herzegovina,1966,
Bosnia-Herzegovina,1967,
Bosnia-Herzegovina,1968,
Bosnia-Herzegovina,1969,
Bosnia-Herzegovina,1970,
Bosnia-Herzegovina,1971,
Bosnia-Herzegovina,1972,
Bosnia-Herzegovina,1973,
Bosnia-Herzegovina,1974,
Bosnia-Herzegovina,1975,
Bosnia-Herzegovina,1976,
Bosnia-Herzegovina,1977,
Bosnia-Herzegovina,1978,
Bosnia-Herzegovina,1979,
Bosnia-Herzegovina,1980,
Bosnia-Herzegovina,1981,
Bosnia-Herzegovina,1982,
Bosnia-Herzegovina,1983,
Bosnia-Herzegovina,1984,
Bosnia-Herzegovina,1985,
Bosnia-Herzegovina,1986,
Bosnia-Herzegovina,1987,
Bosnia-Herzegovina,1988,
Bosnia-Herzegovina,1989,
Bosnia-Herzegovina,1990,
Bosnia-Herzegovina,1991,
Bosnia-Herzegovina,1992,
Bosnia-Herzegovina,1993,
Bosnia-Herzegovina,1994,
Bosnia-Herzegovina,1995,
Bosnia-Herzegovina,1996,
Bosnia-Herzegovina,1997,
Bosnia-Herzegovina,1998,
Bosnia-Herzegovina,1999,
Bosnia-Herzegovina,2000,
Bosnia-Herzegovina,2001,
Bosnia-Herzegovina,2002,9
Bosnia-Herzegovina,2003,
Bosnia-Herzegovina,2004,
Bosnia-Herzegovina,2005,
Bosnia-Herzegovina,2006,
Bosnia-Herzegovina,2007,
Bosnia-Herzegovina,2008,
Bosnia-Herzegovina,2009,
Bosnia-Herzegovina,2010,0
Bosnia-Herzegovina,2011,14
Bosnia-Herzegovina,2012,
Bosnia-Herzegovina,2013,3
Bosnia-Herzegovina,2014,
Bosnia-Herzegovina,2015,
Bosnia-Herzegovina,2016,
Bosnia-Herzegovina,2017,
Bosnia-Herzegovina,2018,
Bosnia-Herzegovina,2019,
Bosnia-Herzegovina,2020,
Bosnia-Herzegovina,2021,
Bosnia-Herzegovina,2022,2
Bosnia-Herzegovina,2023,7
Bosnia-Herzegovina,2024,
Bosnia-Herzegovina,2025,
