country,year,tiv
Bulgaria,1950,
Bulgaria,1951,
Bulgaria,1952,
Bulgaria,1953,
Bulgaria,1954,
Bulgaria,1955,
Bulgaria,1956,
Bulgaria,1957,
Bulgaria,1958,
Bulgaria,1959,
Bulgaria,1960,
Bulgaria,1961,
Bulgaria,1962,
Bulgaria,1963,
Bulgaria,1964,
Bulgaria,1965,
Bulgaria,1966,
Bulgaria,1967,
Bulgaria,1968,
Bulgaria,1969,
Bulgaria,1970,
Bulgaria,1971,
Bulgaria,1972,
Bulgaria,1973,
Bulgaria,1974,
Bulgaria,1975,
Bulgaria,1976,
Bulgaria,1977,
Bulgaria,1978,
Bulgaria,1979,
Bulgaria,1980,
Bulgaria,1981,
Bulgaria,1982,
Bulgaria,1983,4
Bulgaria,1984,
Bulgaria,1985,
Bulgaria,1986,8
Bulgaria,1987,
Bulgaria,1988,
Bulgaria,1989,8
Bulgaria,1990,8
Bulgaria,1991,44
Bulgaria,1992,60
Bulgaria,1993,28
Bulgaria,1994,56
Bulgaria,1995,1
Bulgaria,1996,21
Bulgaria,1997,8
Bulgaria,1998,41
Bulgaria,1999,172
Bulgaria,2000,6
Bulgaria,2001,10
Bulgaria,2002,37
Bulgaria,2003,45
Bulgaria,2004,20
Bulgaria,2005,87
Bulgaria,2006,5
Bulgaria,2007,9
Bulgaria,2008,4
Bulgaria,2009,16
Bulgaria,2010,4
Bulgaria,2011,2
Bulgaria,2012,22
Bulgaria,2013,23
Bulgaria,2014,23
Bulgaria,2015,81
Bulgaria,2016,83
Bulgaria,2017,33
Bulgaria,2018,14
Bulgaria,2019,11
Bulgaria,2020,3
Bulgaria,2021,7
Bulgaria,2022,34
Bulgaria,2023,19
Bulgaria,2024,33
Bulgaria,2025,
