country,year,tiv
Canada,1950,38
Canada,1951,55
Canada,1952,268
Canada,1953,76
Canada,1954,210
Canada,1955,190
Canada,1956,297
Canada,1957,336
Canada,1958,544
Canada,1959,119
Canada,1960,66
Canada,1961,300
Canada,1962,188
Canada,1963,245
Canada,1964,273
Canada,1965,121
Canada,1966,112
Canada,1967,73
Canada,1968,198
Canada,1969,183
Canada,1970,198
Canada,1971,290
Canada,1972,323
Canada,1973,118
Canada,1974,90
Canada,1975,59
Canada,1976,259
Canada,1977,138
Canada,1978,177
Canada,1979,163
Canada,1980,116
Canada,1981,105
Canada,1982,237
Canada,1983,97
Canada,1984,77
Canada,1985,83
Canada,1986,240
Canada,1987,250
Canada,1988,124
Canada,1989,33
Canada,1990,79
Canada,1991,93
Canada,1992,147
Canada,1993,152
Canada,1994,165
Canada,1995,248
Canada,1996,168
Canada,1997,97
Canada,1998,39
Canada,1999,80
Canada,2000,69
Canada,2001,124
Canada,2002,177
Canada,2003,302
Canada,2004,289
Canada,2005,234
Canada,2006,254
Canada,2007,334
Canada,2008,252
Canada,2009,198
Canada,2010,196
Canada,2011,277
Canada,2012,258
Canada,2013,170
Canada,2014,189
Canada,2015,298
Canada,2016,96
Canada,2017,63
Canada,2018,108
Canada,2019,223
Canada,2020,123
Canada,2021,144
Canada,2022,147
Canada,2023,276
Canada,2024,237
Canada,2025,312
