country,year,tiv
Chile,1950,
Chile,1951,
Chile,1952,
Chile,1953,
Chile,1954,
Chile,1955,
Chile,1956,
Chile,1957,
Chile,1958,
Chile,1959,
Chile,1960,
Chile,1961,
Chile,1962,
Chile,1963,
Chile,1964,
Chile,1965,
Chile,1966,
Chile,1967,
Chile,1968,
Chile,1969,
Chile,1970,
Chile,1971,
Chile,1972,
Chile,1973,
Chile,1974,
Chile,1975,0
Chile,1976,
Chile,1977,
Chile,1978,0
Chile,1979,
Chile,1980,0
Chile,1981,0
Chile,1982,
Chile,1983,0
Chile,1984,
Chile,1985,
Chile,1986,3
Chile,1987,3
Chile,1988,4
Chile,1989,4
Chile,1990,
Chile,1991,3
Chile,1992,8
Chile,1993,
Chile,1994,
Chile,1995,
Chile,1996,
Chile,1997,
Chile,1998,2
Chile,1999,1
Chile,2000,1
Chile,2001,
Chile,2002,1
Chile,2003,
Chile,2004,
Chile,2005,
Chile,2006,
Chile,2007,
Chile,2008,100
Chile,2009,
Chile,2010,
Chile,2011,
Chile,2012,
Chile,2013,
Chile,2014,20
Chile,2015,
Chile,2016,
Chile,2017,
Chile,2018,0
Chile,2019,
Chile,2020,
Chile,2021,
Chile,2022,8
Chile,2023,
Chile,2024,
Chile,2025,
