country,year,tiv
Colombia,1950,
Colombia,1951,
Colombia,1952,
Colombia,1953,
Colombia,1954,
Colombia,1955,
Colombia,1956,
Colombia,1957,
Colombia,1958,
Colombia,1959,
Colombia,1960,
Colombia,1961,
Colombia,1962,
Colombia,1963,
Colombia,1964,
Colombia,1965,
Colombia,1966,
Colombia,1967,
Colombia,1968,
Colombia,1969,
Colombia,1970,
Colombia,1971,
Colombia,1972,
Colombia,1973,
Colombia,1974,
Colombia,1975,
Colombia,1976,
Colombia,1977,
Colombia,1978,
Colombia,1979,
Colombia,1980,
Colombia,1981,
Colombia,1982,
Colombia,1983,
Colombia,1984,
Colombia,1985,
Colombia,1986,
Colombia,1987,
Colombia,1988,
Colombia,1989,
Colombia,1990,
Colombia,1991,
Colombia,1992,
Colombia,1993,
Colombia,1994,
Colombia,1995,
Colombia,1996,
Colombia,1997,
Colombia,1998,
Colombia,1999,
Colombia,2000,
Colombia,2001,
Colombia,2002,6
Colombia,2003,
Colombia,2004,
Colombia,2005,
Colombia,2006,
Colombia,2007,
Colombia,2008,
Colombia,2009,
Colombia,2010,
Colombia,2011,
Colombia,2012,0
Colombia,2013,
Colombia,2014,
Colombia,2015,
Colombia,2016,
Colombia,2017,10
Colombia,2018,
Colombia,2019,10
Colombia,2020,4
Colombia,2021,
Colombia,2022,
Colombia,2023,
Colombia,2024,
Colombia,2025,
