country,year,tiv
Croatia,1950,
Croatia,1951,
Croatia,1952,
Croatia,1953,
Croatia,1954,
Croatia,1955,
Croatia,1956,
Croatia,1957,
Croatia,1958,
Croatia,1959,
Croatia,1960,
Croatia,1961,
Croatia,1962,
Croatia,1963,
Croatia,1964,
Croatia,1965,
Croatia,1966,
Croatia,1967,
Croatia,1968,
Croatia,1969,
Croatia,1970,
Croatia,1971,
Croatia,1972,
Croatia,1973,
Croatia,1974,
Croatia,1975,
Croatia,1976,
Croatia,1977,
Croatia,1978,
Croatia,1979,
Croatia,1980,
Croatia,1981,
Croatia,1982,
Croatia,1983,
Croatia,1984,
Croatia,1985,
Croatia,1986,
Croatia,1987,
Croatia,1988,
Croatia,1989,
Croatia,1990,
Croatia,1991,
Croatia,1992,
Croatia,1993,
Croatia,1994,
Croatia,1995,
Croatia,1996,
Croatia,1997,
Croatia,1998,
Croatia,1999,
Croatia,2000,10
Croatia,2001,
Croatia,2002,
Croatia,2003,
Croatia,2004,
Croatia,2005,
Croatia,2006,
Croatia,2007,
Croatia,2008,
Croatia,2009,
Croatia,2010,
Croatia,2011,
Croatia,2012,0
Croatia,2013,
Croatia,2014,
Croatia,2015,
Croatia,2016,
Croatia,2017,3
Croatia,2018,
Croatia,2019,
Croatia,2020,
Croatia,2021,
Croatia,2022,4
Croatia,2023,39
Croatia,2024,53
Croatia,2025,
