country,year,tiv
Czechia,1950,
Czechia,1951,
Czechia,1952,
Czechia,1953,
Czechia,1954,
Czechia,1955,
Czechia,1956,
Czechia,1957,
Czechia,1958,
Czechia,1959,
Czechia,1960,
Czechia,1961,
Czechia,1962,
Czechia,1963,
Czechia,1964,
Czechia,1965,
Czechia,1966,
Czechia,1967,
Czechia,1968,
Czechia,1969,
Czechia,1970,
Czechia,1971,
Czechia,1972,
Czechia,1973,
Czechia,1974,
Czechia,1975,
Czechia,1976,
Czechia,1977,
Czechia,1978,
Czechia,1979,
Czechia,1980,
Czechia,1981,
Czechia,1982,
Czechia,1983,
Czechia,1984,
Czechia,1985,
Czechia,1986,
Czechia,1987,
Czechia,1988,
Czechia,1989,
Czechia,1990,
Czechia,1991,
Czechia,1992,
Czechia,1993,199
Czechia,1994,319
Czechia,1995,146
Czechia,1996,123
Czechia,1997,24
Czechia,1998,21
Czechia,1999,58
Czechia,2000,83
Czechia,2001,89
Czechia,2002,60
Czechia,2003,65
Czechia,2004,2
Czechia,2005,72
Czechia,2006,44
Czechia,2007,34
Czechia,2008,34
Czechia,2009,24
Czechia,2010,5
Czechia,2011,10
Czechia,2012,8
Czechia,2013,41
Czechia,2014,26
Czechia,2015,151
Czechia,2016,153
Czechia,2017,89
Czechia,2018,92
Czechia,2019,19
Czechia,2020,26
Czechia,2021,6
Czechia,2022,168
Czechia,2023,113
Czechia,2024,189
Czechia,2025,137
