country,year,tiv
Czechoslovakia,1950,17
Czechoslovakia,1951,15
Czechoslovakia,1952,16
Czechoslovakia,1953,9
Czechoslovakia,1954,200
Czechoslovakia,1955,1356
Czechoslovakia,1956,1874
Czechoslovakia,1957,2185
Czechoslovakia,1958,1526
Czechoslovakia,1959,943
Czechoslovakia,1960,665
Czechoslovakia,1961,205
Czechoslovakia,1962,177
Czechoslovakia,1963,142
Czechoslovakia,1964,270
Czechoslovakia,1965,327
Czechoslovakia,1966,428
Czechoslovakia,1967,450
Czechoslovakia,1968,506
Czechoslovakia,1969,666
Czechoslovakia,1970,435
Czechoslovakia,1971,420
Czechoslovakia,1972,648
Czechoslovakia,1973,670
Czechoslovakia,1974,886
Czechoslovakia,1975,739
Czechoslovakia,1976,830
Czechoslovakia,1977,845
Czechoslovakia,1978,820
Czechoslovakia,1979,818
Czechoslovakia,1980,791
Czechoslovakia,1981,935
Czechoslovakia,1982,926
Czechoslovakia,1983,1072
Czechoslovakia,1984,1131
Czechoslovakia,1985,1036
Czechoslovakia,1986,1248
Czechoslovakia,1987,1302
Czechoslovakia,1988,1359
Czechoslovakia,1989,1065
Czechoslovakia,1990,626
Czechoslovakia,1991,427
Czechoslovakia,1992,220
Czechoslovakia,1993,
Czechoslovakia,1994,
Czechoslovakia,1995,
Czechoslovakia,1996,
Czechoslovakia,1997,
Czechoslovakia,1998,
Czechoslovakia,1999,
Czechoslovakia,2000,
Czechoslovakia,2001,
Czechoslovakia,2002,
Czechoslovakia,2003,
Czechoslovakia,2004,
Czechoslovakia,2005,
Czechoslovakia,2006,
Czechoslovakia,2007,
Czechoslovakia,2008,
Czechoslovakia,2009,
Czechoslovakia,2010,
Czechoslovakia,2011,
Czechoslovakia,2012,
Czechoslovakia,2013,
Czechoslovakia,2014,
Czechoslovakia,2015,
Czechoslovakia,2016,
Czechoslovakia,2017,
Czechoslovakia,2018,
Czechoslovakia,2019,
Czechoslovakia,2020,
Czechoslovakia,2021,
Czechoslovakia,2022,
Czechoslovakia,2023,
Czechoslovakia,2024,
Czechoslovakia,2025,
