country,year,tiv
DR Congo,1950,
DR Congo,1951,
DR Congo,1952,
DR Congo,1953,
DR Congo,1954,
DR Congo,1955,
DR Congo,1956,
DR Congo,1957,
DR Congo,1958,
DR Congo,1959,
DR Congo,1960,
DR Congo,1961,
DR Congo,1962,
DR Congo,1963,
DR Congo,1964,
DR Congo,1965,
DR Congo,1966,
DR Congo,1967,
DR Congo,1968,
DR Congo,1969,
DR Congo,1970,
DR Congo,1971,
DR Congo,1972,
DR Congo,1973,
DR Congo,1974,
DR Congo,1975,
DR Congo,1976,
DR Congo,1977,
DR Congo,1978,
DR Congo,1979,1
DR Congo,1980,
DR Congo,1981,
DR Congo,1982,
DR Congo,1983,
DR Congo,1984,
DR Congo,1985,
DR Congo,1986,
DR Congo,1987,
DR Congo,1988,
DR Congo,1989,
DR Congo,1990,
DR Congo,1991,
DR Congo,1992,
DR Congo,1993,
DR Congo,1994,
DR Congo,1995,
DR Congo,1996,
DR Congo,1997,22
DR Congo,1998,
DR Congo,1999,
DR Congo,2000,
DR Congo,2001,
DR Congo,2002,
DR Congo,2003,
DR Congo,2004,
DR Congo,2005,
DR Congo,2006,
DR Congo,2007,
DR Congo,2008,
DR Congo,2009,
DR Congo,2010,
DR Congo,2011,
DR Congo,2012,
DR Congo,2013,
DR Congo,2014,
DR Congo,2015,
DR Congo,2016,
DR Congo,2017,
DR Congo,2018,
DR Congo,2019,
DR Congo,2020,
DR Congo,2021,
DR Congo,2022,
DR Congo,2023,
DR Congo,2024,
DR Congo,2025,
