country,year,tiv
East Germany (GDR),1950,
East Germany (GDR),1951,
East Germany (GDR),1952,
East Germany (GDR),1953,
East Germany (GDR),1954,
East Germany (GDR),1955,
East Germany (GDR),1956,
East Germany (GDR),1957,
East Germany (GDR),1958,
East Germany (GDR),1959,
East Germany (GDR),1960,17
East Germany (GDR),1961,25
East Germany (GDR),1962,17
East Germany (GDR),1963,29
East Germany (GDR),1964,39
East Germany (GDR),1965,26
East Germany (GDR),1966,
East Germany (GDR),1967,
East Germany (GDR),1968,
East Germany (GDR),1969,
East Germany (GDR),1970,
East Germany (GDR),1971,
East Germany (GDR),1972,
East Germany (GDR),1973,
East Germany (GDR),1974,11
East Germany (GDR),1975,
East Germany (GDR),1976,12
East Germany (GDR),1977,25
East Germany (GDR),1978,15
East Germany (GDR),1979,35
East Germany (GDR),1980,34
East Germany (GDR),1981,43
East Germany (GDR),1982,3
East Germany (GDR),1983,
East Germany (GDR),1984,
East Germany (GDR),1985,
East Germany (GDR),1986,77
East Germany (GDR),1987,77
East Germany (GDR),1988,154
East Germany (GDR),1989,149
East Germany (GDR),1990,39
East Germany (GDR),1991,
East Germany (GDR),1992,
East Germany (GDR),1993,
East Germany (GDR),1994,
East Germany (GDR),1995,
East Germany (GDR),1996,
East Germany (GDR),1997,
East Germany (GDR),1998,
East Germany (GDR),1999,
East Germany (GDR),2000,
East Germany (GDR),2001,
East Germany (GDR),2002,
East Germany (GDR),2003,
East Germany (GDR),2004,
East Germany (GDR),2005,
East Germany (GDR),2006,
East Germany (GDR),2007,
East Germany (GDR),2008,
East Germany (GDR),2009,
East Germany (GDR),2010,
East Germany (GDR),2011,
East Germany (GDR),2012,
East Germany (GDR),2013,
East Germany (GDR),2014,
East Germany (GDR),2015,
East Germany (GDR),2016,
East Germany (GDR),2017,
East Germany (GDR),2018,
East Germany (GDR),2019,
East Germany (GDR),2020,
East Germany (GDR),2021,
East Germany (GDR),2022,
East Germany (GDR),2023,
East Germany (GDR),2024,
East Germany (GDR),2025,
