country,year,tiv
Egypt,1950,
Egypt,1951,
Egypt,1952,
Egypt,1953,
Egypt,1954,
Egypt,1955,
Egypt,1956,9
Egypt,1957,21
Egypt,1958,4
Egypt,1959,4
Egypt,1960,0
Egypt,1961,0
Egypt,1962,7
Egypt,1963,8
Egypt,1964,1
Egypt,1965,
Egypt,1966,14
Egypt,1967,15
Egypt,1968,26
Egypt,1969,15
Egypt,1970,39
Egypt,1971,
Egypt,1972,
Egypt,1973,
Egypt,1974,
Egypt,1975,16
Egypt,1976,
Egypt,1977,51
Egypt,1978,78
Egypt,1979,32
Egypt,1980,29
Egypt,1981,71
Egypt,1982,81
Egypt,1983,71
Egypt,1984,37
Egypt,1985,5
Egypt,1986,19
Egypt,1987,76
Egypt,1988,81
Egypt,1989,81
Egypt,1990,25
Egypt,1991,
Egypt,1992,15
Egypt,1993,28
Egypt,1994,17
Egypt,1995,12
Egypt,1996,5
Egypt,1997,5
Egypt,1998,
Egypt,1999,
Egypt,2000,
Egypt,2001,
Egypt,2002,
Egypt,2003,
Egypt,2004,
Egypt,2005,
Egypt,2006,
Egypt,2007,
Egypt,2008,
Egypt,2009,
Egypt,2010,
Egypt,2011,
Egypt,2012,
Egypt,2013,
Egypt,2014,7
Egypt,2015,21
Egypt,2016,
Egypt,2017,
Egypt,2018,
Egypt,2019,8
Egypt,2020,
Egypt,2021,41
Egypt,2022,41
Egypt,2023,4
Egypt,2024,2
Egypt,2025,
