country,year,tiv
European Union**,1950,
European Union**,1951,
European Union**,1952,
European Union**,1953,
European Union**,1954,
European Union**,1955,
European Union**,1956,
European Union**,1957,
European Union**,1958,
European Union**,1959,
European Union**,1960,
European Union**,1961,
European Union**,1962,
European Union**,1963,
European Union**,1964,
European Union**,1965,
European Union**,1966,
European Union**,1967,
European Union**,1968,
European Union**,1969,
European Union**,1970,
European Union**,1971,
European Union**,1972,
European Union**,1973,
European Union**,1974,
European Union**,1975,
European Union**,1976,
European Union**,1977,
European Union**,1978,
European Union**,1979,
European Union**,1980,
European Union**,1981,
European Union**,1982,
European Union**,1983,
European Union**,1984,
European Union**,1985,
European Union**,1986,
European Union**,1987,
European Union**,1988,
European Union**,1989,
European Union**,1990,
European Union**,1991,
European Union**,1992,
European Union**,1993,
European Union**,1994,
European Union**,1995,
European Union**,1996,
European Union**,1997,
European Union**,1998,
European Union**,1999,
European Union**,2000,
European Union**,2001,
European Union**,2002,
European Union**,2003,
European Union**,2004,
European Union**,2005,
European Union**,2006,
European Union**,2007,
European Union**,2008,
European Union**,2009,
European Union**,2010,
European Union**,2011,
European Union**,2012,
European Union**,2013,
European Union**,2014,
European Union**,2015,
European Union**,2016,
European Union**,2017,
European Union**,2018,
European Union**,2019,0
European Union**,2020,
European Union**,2021,
European Union**,2022,
European Union**,2023,
European Union**,2024,
European Union**,2025,
