country,year,tiv
France,1950,14
France,1951,78
France,1952,78
France,1953,301
France,1954,266
France,1955,348
France,1956,988
France,1957,616
France,1958,753
France,1959,770
France,1960,866
France,1961,856
France,1962,912
France,1963,1330
France,1964,1574
France,1965,1333
France,1966,1896
France,1967,1602
France,1968,1504
France,1969,1518
France,1970,1735
France,1971,2363
France,1972,2694
France,1973,2974
France,1974,2180
France,1975,2321
France,1976,2039
France,1977,2737
France,1978,3317
France,1979,2970
France,1980,3851
France,1981,3683
France,1982,3789
France,1983,3414
France,1984,2932
France,1985,3992
France,1986,2962
France,1987,1752
France,1988,1960
France,1989,2269
France,1990,1799
France,1991,1166
France,1992,1246
France,1993,971
France,1994,858
France,1995,969
France,1996,1839
France,1997,3176
France,1998,3098
France,1999,1683
France,2000,966
France,2001,1311
France,2002,1375
France,2003,1348
France,2004,2117
France,2005,1645
France,2006,1484
France,2007,2145
France,2008,1872
France,2009,1845
France,2010,888
France,2011,2079
France,2012,1338
France,2013,1870
France,2014,1763
France,2015,2229
France,2016,2193
France,2017,2336
France,2018,1867
France,2019,3753
France,2020,2290
France,2021,3904
France,2022,3156
France,2023,2175
France,2024,2472
France,2025,3367
