country,year,tiv
Gabon,1950,
Gabon,1951,
Gabon,1952,
Gabon,1953,
Gabon,1954,
Gabon,1955,
Gabon,1956,
Gabon,1957,
Gabon,1958,
Gabon,1959,
Gabon,1960,
Gabon,1961,
Gabon,1962,
Gabon,1963,
Gabon,1964,
Gabon,1965,
Gabon,1966,
Gabon,1967,
Gabon,1968,
Gabon,1969,
Gabon,1970,
Gabon,1971,
Gabon,1972,
Gabon,1973,1
Gabon,1974,
Gabon,1975,
Gabon,1976,
Gabon,1977,
Gabon,1978,
Gabon,1979,
Gabon,1980,
Gabon,1981,
Gabon,1982,
Gabon,1983,
Gabon,1984,
Gabon,1985,
Gabon,1986,
Gabon,1987,
Gabon,1988,
Gabon,1989,
Gabon,1990,
Gabon,1991,
Gabon,1992,
Gabon,1993,
Gabon,1994,
Gabon,1995,
Gabon,1996,
Gabon,1997,
Gabon,1998,
Gabon,1999,
Gabon,2000,
Gabon,2001,
Gabon,2002,
Gabon,2003,
Gabon,2004,
Gabon,2005,
Gabon,2006,
Gabon,2007,
Gabon,2008,
Gabon,2009,
Gabon,2010,
Gabon,2011,
Gabon,2012,
Gabon,2013,
Gabon,2014,
Gabon,2015,
Gabon,2016,
Gabon,2017,
Gabon,2018,
Gabon,2019,
Gabon,2020,
Gabon,2021,
Gabon,2022,
Gabon,2023,
Gabon,2024,
Gabon,2025,
