country,year,tiv
Greece,1950,
Greece,1951,
Greece,1952,
Greece,1953,
Greece,1954,
Greece,1955,
Greece,1956,
Greece,1957,
Greece,1958,
Greece,1959,
Greece,1960,
Greece,1961,
Greece,1962,
Greece,1963,
Greece,1964,7
Greece,1965,1
Greece,1966,
Greece,1967,
Greece,1968,
Greece,1969,
Greece,1970,
Greece,1971,
Greece,1972,
Greece,1973,
Greece,1974,
Greece,1975,
Greece,1976,
Greece,1977,
Greece,1978,
Greece,1979,
Greece,1980,
Greece,1981,
Greece,1982,
Greece,1983,
Greece,1984,
Greece,1985,
Greece,1986,
Greece,1987,
Greece,1988,
Greece,1989,
Greece,1990,
Greece,1991,
Greece,1992,15
Greece,1993,10
Greece,1994,18
Greece,1995,
Greece,1996,19
Greece,1997,31
Greece,1998,9
Greece,1999,3
Greece,2000,2
Greece,2001,2
Greece,2002,
Greece,2003,6
Greece,2004,22
Greece,2005,13
Greece,2006,23
Greece,2007,
Greece,2008,
Greece,2009,
Greece,2010,
Greece,2011,
Greece,2012,
Greece,2013,
Greece,2014,
Greece,2015,
Greece,2016,
Greece,2017,30
Greece,2018,
Greece,2019,
Greece,2020,
Greece,2021,
Greece,2022,7
Greece,2023,7
Greece,2024,20
Greece,2025,2
