country,year,tiv
House of Representatives (Libya)*,1950,
House of Representatives (Libya)*,1951,
House of Representatives (Libya)*,1952,
House of Representatives (Libya)*,1953,
House of Representatives (Libya)*,1954,
House of Representatives (Libya)*,1955,
House of Representatives (Libya)*,1956,
House of Representatives (Libya)*,1957,
House of Representatives (Libya)*,1958,
House of Representatives (Libya)*,1959,
House of Representatives (Libya)*,1960,
House of Representatives (Libya)*,1961,
House of Representatives (Libya)*,1962,
House of Representatives (Libya)*,1963,
House of Representatives (Libya)*,1964,
House of Representatives (Libya)*,1965,
House of Representatives (Libya)*,1966,
House of Representatives (Libya)*,1967,
House of Representatives (Libya)*,1968,
House of Representatives (Libya)*,1969,
House of Representatives (Libya)*,1970,
House of Representatives (Libya)*,1971,
House of Representatives (Libya)*,1972,
House of Representatives (Libya)*,1973,
House of Representatives (Libya)*,1974,
House of Representatives (Libya)*,1975,
House of Representatives (Libya)*,1976,
House of Representatives (Libya)*,1977,
House of Representatives (Libya)*,1978,
House of Representatives (Libya)*,1979,
House of Representatives (Libya)*,1980,
House of Representatives (Libya)*,1981,
House of Representatives (Libya)*,1982,
House of Representatives (Libya)*,1983,
House of Representatives (Libya)*,1984,
House of Representatives (Libya)*,1985,
House of Representatives (Libya)*,1986,
House of Representatives (Libya)*,1987,
House of Representatives (Libya)*,1988,
House of Representatives (Libya)*,1989,
House of Representatives (Libya)*,1990,
House of Representatives (Libya)*,1991,
House of Representatives (Libya)*,1992,
House of Representatives (Libya)*,1993,
House of Representatives (Libya)*,1994,
House of Representatives (Libya)*,1995,
House of Representatives (Libya)*,1996,
House of Representatives (Libya)*,1997,
House of Representatives (Libya)*,1998,
House of Representatives (Libya)*,1999,
House of Representatives (Libya)*,2000,
House of Representatives (Libya)*,2001,
House of Representatives (Libya)*,2002,
House of Representatives (Libya)*,2003,
House of Representatives (Libya)*,2004,
House of Representatives (Libya)*,2005,
House of Representatives (Libya)*,2006,
House of Representatives (Libya)*,2007,
House of Representatives (Libya)*,2008,
House of Representatives (Libya)*,2009,
House of Representatives (Libya)*,2010,
House of Representatives (Libya)*,2011,
House of Representatives (Libya)*,2012,
House of Representatives (Libya)*,2013,
House of Representatives (Libya)*,2014,
House of Representatives (Libya)*,2015,
House of Representatives (Libya)*,2016,1
House of Representatives (Libya)*,2017,
House of Representatives (Libya)*,2018,0
House of Representatives (Libya)*,2019,
House of Representatives (Libya)*,2020,
House of Representatives (Libya)*,2021,
House of Representatives (Libya)*,2022,
House of Representatives (Libya)*,2023,
House of Representatives (Libya)*,2024,
House of Representatives (Libya)*,2025,
