country,year,tiv
Hungary,1950,
Hungary,1951,
Hungary,1952,
Hungary,1953,
Hungary,1954,
Hungary,1955,
Hungary,1956,
Hungary,1957,5
Hungary,1958,
Hungary,1959,
Hungary,1960,
Hungary,1961,
Hungary,1962,
Hungary,1963,
Hungary,1964,
Hungary,1965,
Hungary,1966,18
Hungary,1967,18
Hungary,1968,37
Hungary,1969,28
Hungary,1970,
Hungary,1971,
Hungary,1972,8
Hungary,1973,44
Hungary,1974,8
Hungary,1975,8
Hungary,1976,
Hungary,1977,
Hungary,1978,
Hungary,1979,
Hungary,1980,4
Hungary,1981,30
Hungary,1982,4
Hungary,1983,4
Hungary,1984,
Hungary,1985,
Hungary,1986,
Hungary,1987,
Hungary,1988,
Hungary,1989,
Hungary,1990,
Hungary,1991,
Hungary,1992,
Hungary,1993,21
Hungary,1994,
Hungary,1995,6
Hungary,1996,
Hungary,1997,24
Hungary,1998,
Hungary,1999,
Hungary,2000,
Hungary,2001,
Hungary,2002,34
Hungary,2003,
Hungary,2004,
Hungary,2005,82
Hungary,2006,
Hungary,2007,9
Hungary,2008,
Hungary,2009,
Hungary,2010,
Hungary,2011,
Hungary,2012,
Hungary,2013,41
Hungary,2014,
Hungary,2015,
Hungary,2016,
Hungary,2017,
Hungary,2018,
Hungary,2019,
Hungary,2020,
Hungary,2021,2
Hungary,2022,
Hungary,2023,
Hungary,2024,11
Hungary,2025,
