country,year,tiv
India,1950,
India,1951,
India,1952,
India,1953,
India,1954,
India,1955,
India,1956,
India,1957,
India,1958,
India,1959,1
India,1960,
India,1961,
India,1962,
India,1963,
India,1964,
India,1965,
India,1966,
India,1967,
India,1968,1
India,1969,
India,1970,
India,1971,7
India,1972,2
India,1973,21
India,1974,24
India,1975,31
India,1976,
India,1977,
India,1978,27
India,1979,22
India,1980,
India,1981,
India,1982,2
India,1983,
India,1984,
India,1985,
India,1986,
India,1987,
India,1988,1
India,1989,
India,1990,7
India,1991,
India,1992,7
India,1993,9
India,1994,2
India,1995,2
India,1996,
India,1997,
India,1998,
India,1999,
India,2000,21
India,2001,2
India,2002,0
India,2003,4
India,2004,31
India,2005,19
India,2006,33
India,2007,23
India,2008,15
India,2009,27
India,2010,5
India,2011,3
India,2012,
India,2013,18
India,2014,40
India,2015,42
India,2016,49
India,2017,56
India,2018,47
India,2019,20
India,2020,153
India,2021,54
India,2022,7
India,2023,41
India,2024,94
India,2025,81
