country,year,tiv
Indonesia,1950,
Indonesia,1951,
Indonesia,1952,
Indonesia,1953,
Indonesia,1954,
Indonesia,1955,
Indonesia,1956,
Indonesia,1957,
Indonesia,1958,
Indonesia,1959,
Indonesia,1960,
Indonesia,1961,
Indonesia,1962,
Indonesia,1963,7
Indonesia,1964,
Indonesia,1965,
Indonesia,1966,
Indonesia,1967,
Indonesia,1968,
Indonesia,1969,
Indonesia,1970,12
Indonesia,1971,
Indonesia,1972,
Indonesia,1973,
Indonesia,1974,
Indonesia,1975,
Indonesia,1976,
Indonesia,1977,
Indonesia,1978,9
Indonesia,1979,
Indonesia,1980,4
Indonesia,1981,
Indonesia,1982,
Indonesia,1983,
Indonesia,1984,
Indonesia,1985,8
Indonesia,1986,4
Indonesia,1987,
Indonesia,1988,
Indonesia,1989,
Indonesia,1990,
Indonesia,1991,
Indonesia,1992,
Indonesia,1993,18
Indonesia,1994,18
Indonesia,1995,27
Indonesia,1996,
Indonesia,1997,9
Indonesia,1998,
Indonesia,1999,54
Indonesia,2000,
Indonesia,2001,18
Indonesia,2002,54
Indonesia,2003,
Indonesia,2004,27
Indonesia,2005,9
Indonesia,2006,9
Indonesia,2007,
Indonesia,2008,1
Indonesia,2009,
Indonesia,2010,
Indonesia,2011,4
Indonesia,2012,
Indonesia,2013,
Indonesia,2014,
Indonesia,2015,
Indonesia,2016,85
Indonesia,2017,94
Indonesia,2018,15
Indonesia,2019,9
Indonesia,2020,
Indonesia,2021,17
Indonesia,2022,
Indonesia,2023,
Indonesia,2024,
Indonesia,2025,
