country,year,tiv
Iran,1950,
Iran,1951,
Iran,1952,1
Iran,1953,
Iran,1954,
Iran,1955,
Iran,1956,
Iran,1957,
Iran,1958,
Iran,1959,
Iran,1960,
Iran,1961,
Iran,1962,3
Iran,1963,
Iran,1964,
Iran,1965,
Iran,1966,
Iran,1967,28
Iran,1968,
Iran,1969,
Iran,1970,23
Iran,1971,6
Iran,1972,106
Iran,1973,6
Iran,1974,129
Iran,1975,86
Iran,1976,
Iran,1977,
Iran,1978,
Iran,1979,
Iran,1980,1
Iran,1981,1
Iran,1982,1
Iran,1983,1
Iran,1984,1
Iran,1985,1
Iran,1986,1
Iran,1987,1
Iran,1988,1
Iran,1989,1
Iran,1990,0
Iran,1991,1
Iran,1992,1
Iran,1993,1
Iran,1994,0
Iran,1995,1
Iran,1996,3
Iran,1997,0
Iran,1998,0
Iran,1999,0
Iran,2000,0
Iran,2001,0
Iran,2002,9
Iran,2003,12
Iran,2004,3
Iran,2005,4
Iran,2006,78
Iran,2007,2
Iran,2008,82
Iran,2009,99
Iran,2010,54
Iran,2011,77
Iran,2012,35
Iran,2013,2
Iran,2014,34
Iran,2015,11
Iran,2016,24
Iran,2017,24
Iran,2018,9
Iran,2019,9
Iran,2020,16
Iran,2021,2
Iran,2022,48
Iran,2023,170
Iran,2024,106
Iran,2025,80
