country,year,tiv
Ireland,1950,
Ireland,1951,
Ireland,1952,
Ireland,1953,
Ireland,1954,
Ireland,1955,
Ireland,1956,
Ireland,1957,
Ireland,1958,
Ireland,1959,
Ireland,1960,
Ireland,1961,
Ireland,1962,
Ireland,1963,
Ireland,1964,
Ireland,1965,
Ireland,1966,
Ireland,1967,
Ireland,1968,
Ireland,1969,
Ireland,1970,
Ireland,1971,
Ireland,1972,
Ireland,1973,
Ireland,1974,
Ireland,1975,
Ireland,1976,
Ireland,1977,
Ireland,1978,
Ireland,1979,
Ireland,1980,
Ireland,1981,
Ireland,1982,
Ireland,1983,
Ireland,1984,
Ireland,1985,
Ireland,1986,
Ireland,1987,
Ireland,1988,
Ireland,1989,
Ireland,1990,
Ireland,1991,
Ireland,1992,
Ireland,1993,
Ireland,1994,
Ireland,1995,
Ireland,1996,
Ireland,1997,
Ireland,1998,
Ireland,1999,
Ireland,2000,
Ireland,2001,
Ireland,2002,
Ireland,2003,
Ireland,2004,
Ireland,2005,26
Ireland,2006,53
Ireland,2007,51
Ireland,2008,45
Ireland,2009,45
Ireland,2010,42
Ireland,2011,1
Ireland,2012,44
Ireland,2013,44
Ireland,2014,23
Ireland,2015,10
Ireland,2016,
Ireland,2017,
Ireland,2018,
Ireland,2019,
Ireland,2020,
Ireland,2021,13
Ireland,2022,46
Ireland,2023,
Ireland,2024,18
Ireland,2025,24
