country,year,tiv
Israel,1950,
Israel,1951,
Israel,1952,
Israel,1953,
Israel,1954,8
Israel,1955,30
Israel,1956,
Israel,1957,2
Israel,1958,
Israel,1959,23
Israel,1960,
Israel,1961,
Israel,1962,
Israel,1963,
Israel,1964,5
Israel,1965,34
Israel,1966,46
Israel,1967,45
Israel,1968,55
Israel,1969,48
Israel,1970,21
Israel,1971,27
Israel,1972,35
Israel,1973,18
Israel,1974,43
Israel,1975,109
Israel,1976,80
Israel,1977,201
Israel,1978,222
Israel,1979,188
Israel,1980,241
Israel,1981,196
Israel,1982,261
Israel,1983,364
Israel,1984,202
Israel,1985,202
Israel,1986,333
Israel,1987,130
Israel,1988,63
Israel,1989,190
Israel,1990,73
Israel,1991,157
Israel,1992,354
Israel,1993,416
Israel,1994,337
Israel,1995,206
Israel,1996,335
Israel,1997,271
Israel,1998,227
Israel,1999,177
Israel,2000,407
Israel,2001,467
Israel,2002,532
Israel,2003,418
Israel,2004,599
Israel,2005,521
Israel,2006,451
Israel,2007,613
Israel,2008,389
Israel,2009,819
Israel,2010,695
Israel,2011,590
Israel,2012,482
Israel,2013,414
Israel,2014,408
Israel,2015,573
Israel,2016,1258
Israel,2017,1215
Israel,2018,1142
Israel,2019,385
Israel,2020,356
Israel,2021,687
Israel,2022,1034
Israel,2023,1272
Israel,2024,1163
Israel,2025,2623
