country,year,tiv
Italy,1950,119
Italy,1951,106
Italy,1952,24
Italy,1953,1
Italy,1954,11
Italy,1955,138
Italy,1956,263
Italy,1957,283
Italy,1958,239
Italy,1959,8
Italy,1960,105
Italy,1961,246
Italy,1962,262
Italy,1963,241
Italy,1964,385
Italy,1965,296
Italy,1966,243
Italy,1967,144
Italy,1968,197
Italy,1969,325
Italy,1970,280
Italy,1971,383
Italy,1972,284
Italy,1973,328
Italy,1974,409
Italy,1975,520
Italy,1976,523
Italy,1977,505
Italy,1978,665
Italy,1979,1312
Italy,1980,1163
Italy,1981,1704
Italy,1982,1674
Italy,1983,1112
Italy,1984,1232
Italy,1985,868
Italy,1986,223
Italy,1987,626
Italy,1988,389
Italy,1989,316
Italy,1990,200
Italy,1991,354
Italy,1992,249
Italy,1993,342
Italy,1994,208
Italy,1995,301
Italy,1996,287
Italy,1997,447
Italy,1998,423
Italy,1999,516
Italy,2000,205
Italy,2001,267
Italy,2002,474
Italy,2003,359
Italy,2004,261
Italy,2005,832
Italy,2006,538
Italy,2007,700
Italy,2008,433
Italy,2009,512
Italy,2010,577
Italy,2011,964
Italy,2012,789
Italy,2013,884
Italy,2014,688
Italy,2015,671
Italy,2016,616
Italy,2017,703
Italy,2018,535
Italy,2019,372
Italy,2020,821
Italy,2021,1627
Italy,2022,1713
Italy,2023,1367
Italy,2024,1208
Italy,2025,1923
