country,year,tiv
Japan,1950,
Japan,1951,
Japan,1952,
Japan,1953,
Japan,1954,2
Japan,1955,110
Japan,1956,38
Japan,1957,52
Japan,1958,3
Japan,1959,41
Japan,1960,1
Japan,1961,61
Japan,1962,100
Japan,1963,8
Japan,1964,14
Japan,1965,
Japan,1966,5
Japan,1967,
Japan,1968,
Japan,1969,31
Japan,1970,
Japan,1971,15
Japan,1972,9
Japan,1973,36
Japan,1974,55
Japan,1975,
Japan,1976,
Japan,1977,
Japan,1978,9
Japan,1979,11
Japan,1980,167
Japan,1981,
Japan,1982,
Japan,1983,17
Japan,1984,17
Japan,1985,44
Japan,1986,92
Japan,1987,
Japan,1988,
Japan,1989,15
Japan,1990,30
Japan,1991,54
Japan,1992,101
Japan,1993,122
Japan,1994,130
Japan,1995,126
Japan,1996,165
Japan,1997,25
Japan,1998,
Japan,1999,
Japan,2000,
Japan,2001,
Japan,2002,
Japan,2003,
Japan,2004,
Japan,2005,
Japan,2006,
Japan,2007,40
Japan,2008,
Japan,2009,
Japan,2010,
Japan,2011,
Japan,2012,
Japan,2013,
Japan,2014,
Japan,2015,
Japan,2016,
Japan,2017,2
Japan,2018,3
Japan,2019,
Japan,2020,
Japan,2021,
Japan,2022,
Japan,2023,13
Japan,2024,21
Japan,2025,28
