country,year,tiv
Jordan,1950,
Jordan,1951,
Jordan,1952,
Jordan,1953,
Jordan,1954,
Jordan,1955,
Jordan,1956,
Jordan,1957,
Jordan,1958,
Jordan,1959,2
Jordan,1960,
Jordan,1961,
Jordan,1962,
Jordan,1963,
Jordan,1964,
Jordan,1965,
Jordan,1966,
Jordan,1967,
Jordan,1968,
Jordan,1969,
Jordan,1970,
Jordan,1971,36
Jordan,1972,
Jordan,1973,22
Jordan,1974,23
Jordan,1975,50
Jordan,1976,
Jordan,1977,18
Jordan,1978,
Jordan,1979,
Jordan,1980,
Jordan,1981,
Jordan,1982,1
Jordan,1983,76
Jordan,1984,
Jordan,1985,2
Jordan,1986,7
Jordan,1987,
Jordan,1988,7
Jordan,1989,64
Jordan,1990,
Jordan,1991,
Jordan,1992,
Jordan,1993,
Jordan,1994,65
Jordan,1995,
Jordan,1996,
Jordan,1997,6
Jordan,1998,
Jordan,1999,
Jordan,2000,
Jordan,2001,
Jordan,2002,
Jordan,2003,
Jordan,2004,19
Jordan,2005,22
Jordan,2006,
Jordan,2007,13
Jordan,2008,13
Jordan,2009,28
Jordan,2010,117
Jordan,2011,
Jordan,2012,21
Jordan,2013,35
Jordan,2014,114
Jordan,2015,16
Jordan,2016,18
Jordan,2017,80
Jordan,2018,2
Jordan,2019,109
Jordan,2020,66
Jordan,2021,74
Jordan,2022,53
Jordan,2023,11
Jordan,2024,226
Jordan,2025,
