country,year,tiv
Kenya,1950,
Kenya,1951,
Kenya,1952,
Kenya,1953,
Kenya,1954,
Kenya,1955,
Kenya,1956,
Kenya,1957,
Kenya,1958,
Kenya,1959,
Kenya,1960,
Kenya,1961,
Kenya,1962,
Kenya,1963,
Kenya,1964,
Kenya,1965,
Kenya,1966,
Kenya,1967,
Kenya,1968,
Kenya,1969,
Kenya,1970,
Kenya,1971,
Kenya,1972,
Kenya,1973,
Kenya,1974,
Kenya,1975,
Kenya,1976,
Kenya,1977,
Kenya,1978,
Kenya,1979,
Kenya,1980,
Kenya,1981,8
Kenya,1982,
Kenya,1983,
Kenya,1984,
Kenya,1985,
Kenya,1986,
Kenya,1987,
Kenya,1988,
Kenya,1989,
Kenya,1990,
Kenya,1991,2
Kenya,1992,
Kenya,1993,2
Kenya,1994,
Kenya,1995,
Kenya,1996,
Kenya,1997,
Kenya,1998,
Kenya,1999,
Kenya,2000,
Kenya,2001,
Kenya,2002,
Kenya,2003,
Kenya,2004,
Kenya,2005,
Kenya,2006,
Kenya,2007,
Kenya,2008,
Kenya,2009,
Kenya,2010,
Kenya,2011,
Kenya,2012,
Kenya,2013,
Kenya,2014,
Kenya,2015,
Kenya,2016,
Kenya,2017,
Kenya,2018,
Kenya,2019,
Kenya,2020,
Kenya,2021,
Kenya,2022,
Kenya,2023,
Kenya,2024,
Kenya,2025,
