country,year,tiv
Kuwait,1950,
Kuwait,1951,
Kuwait,1952,
Kuwait,1953,
Kuwait,1954,
Kuwait,1955,
Kuwait,1956,
Kuwait,1957,
Kuwait,1958,
Kuwait,1959,
Kuwait,1960,
Kuwait,1961,
Kuwait,1962,
Kuwait,1963,
Kuwait,1964,
Kuwait,1965,
Kuwait,1966,
Kuwait,1967,3
Kuwait,1968,
Kuwait,1969,
Kuwait,1970,
Kuwait,1971,
Kuwait,1972,
Kuwait,1973,
Kuwait,1974,
Kuwait,1975,
Kuwait,1976,
Kuwait,1977,
Kuwait,1978,
Kuwait,1979,22
Kuwait,1980,6
Kuwait,1981,
Kuwait,1982,
Kuwait,1983,
Kuwait,1984,4
Kuwait,1985,
Kuwait,1986,
Kuwait,1987,
Kuwait,1988,
Kuwait,1989,
Kuwait,1990,
Kuwait,1991,
Kuwait,1992,
Kuwait,1993,
Kuwait,1994,
Kuwait,1995,
Kuwait,1996,
Kuwait,1997,
Kuwait,1998,95
Kuwait,1999,
Kuwait,2000,
Kuwait,2001,
Kuwait,2002,
Kuwait,2003,
Kuwait,2004,
Kuwait,2005,
Kuwait,2006,
Kuwait,2007,
Kuwait,2008,
Kuwait,2009,
Kuwait,2010,
Kuwait,2011,
Kuwait,2012,
Kuwait,2013,
Kuwait,2014,
Kuwait,2015,
Kuwait,2016,
Kuwait,2017,
Kuwait,2018,
Kuwait,2019,
Kuwait,2020,
Kuwait,2021,
Kuwait,2022,
Kuwait,2023,
Kuwait,2024,
Kuwait,2025,
