country,year,tiv
Lebanon,1950,
Lebanon,1951,
Lebanon,1952,
Lebanon,1953,
Lebanon,1954,
Lebanon,1955,
Lebanon,1956,
Lebanon,1957,
Lebanon,1958,
Lebanon,1959,
Lebanon,1960,
Lebanon,1961,
Lebanon,1962,
Lebanon,1963,
Lebanon,1964,
Lebanon,1965,
Lebanon,1966,
Lebanon,1967,1
Lebanon,1968,
Lebanon,1969,
Lebanon,1970,
Lebanon,1971,
Lebanon,1972,
Lebanon,1973,
Lebanon,1974,
Lebanon,1975,
Lebanon,1976,
Lebanon,1977,
Lebanon,1978,
Lebanon,1979,
Lebanon,1980,
Lebanon,1981,
Lebanon,1982,
Lebanon,1983,
Lebanon,1984,
Lebanon,1985,
Lebanon,1986,
Lebanon,1987,
Lebanon,1988,
Lebanon,1989,
Lebanon,1990,
Lebanon,1991,1
Lebanon,1992,
Lebanon,1993,
Lebanon,1994,
Lebanon,1995,
Lebanon,1996,
Lebanon,1997,
Lebanon,1998,
Lebanon,1999,
Lebanon,2000,
Lebanon,2001,
Lebanon,2002,48
Lebanon,2003,
Lebanon,2004,
Lebanon,2005,
Lebanon,2006,
Lebanon,2007,
Lebanon,2008,
Lebanon,2009,
Lebanon,2010,
Lebanon,2011,
Lebanon,2012,
Lebanon,2013,
Lebanon,2014,
Lebanon,2015,
Lebanon,2016,
Lebanon,2017,
Lebanon,2018,
Lebanon,2019,
Lebanon,2020,
Lebanon,2021,
Lebanon,2022,
Lebanon,2023,
Lebanon,2024,
Lebanon,2025,
