country,year,tiv
Libya,1950,
Libya,1951,
Libya,1952,
Libya,1953,
Libya,1954,
Libya,1955,
Libya,1956,
Libya,1957,
Libya,1958,
Libya,1959,
Libya,1960,
Libya,1961,
Libya,1962,
Libya,1963,
Libya,1964,
Libya,1965,
Libya,1966,
Libya,1967,
Libya,1968,
Libya,1969,
Libya,1970,
Libya,1971,
Libya,1972,0
Libya,1973,0
Libya,1974,
Libya,1975,26
Libya,1976,4
Libya,1977,
Libya,1978,8
Libya,1979,395
Libya,1980,95
Libya,1981,107
Libya,1982,169
Libya,1983,64
Libya,1984,9
Libya,1985,31
Libya,1986,9
Libya,1987,13
Libya,1988,64
Libya,1989,7
Libya,1990,36
Libya,1991,
Libya,1992,
Libya,1993,
Libya,1994,3
Libya,1995,
Libya,1996,
Libya,1997,3
Libya,1998,10
Libya,1999,
Libya,2000,
Libya,2001,
Libya,2002,21
Libya,2003,16
Libya,2004,113
Libya,2005,113
Libya,2006,18
Libya,2007,9
Libya,2008,17
Libya,2009,32
Libya,2010,27
Libya,2011,0
Libya,2012,
Libya,2013,
Libya,2014,
Libya,2015,
Libya,2016,0
Libya,2017,
Libya,2018,
Libya,2019,
Libya,2020,
Libya,2021,
Libya,2022,
Libya,2023,
Libya,2024,
Libya,2025,
