country,year,tiv
Lithuania,1950,
Lithuania,1951,
Lithuania,1952,
Lithuania,1953,
Lithuania,1954,
Lithuania,1955,
Lithuania,1956,
Lithuania,1957,
Lithuania,1958,
Lithuania,1959,
Lithuania,1960,
Lithuania,1961,
Lithuania,1962,
Lithuania,1963,
Lithuania,1964,
Lithuania,1965,
Lithuania,1966,
Lithuania,1967,
Lithuania,1968,
Lithuania,1969,
Lithuania,1970,
Lithuania,1971,
Lithuania,1972,
Lithuania,1973,
Lithuania,1974,
Lithuania,1975,
Lithuania,1976,
Lithuania,1977,
Lithuania,1978,
Lithuania,1979,
Lithuania,1980,
Lithuania,1981,
Lithuania,1982,
Lithuania,1983,
Lithuania,1984,
Lithuania,1985,
Lithuania,1986,
Lithuania,1987,
Lithuania,1988,
Lithuania,1989,
Lithuania,1990,
Lithuania,1991,
Lithuania,1992,
Lithuania,1993,
Lithuania,1994,
Lithuania,1995,
Lithuania,1996,
Lithuania,1997,
Lithuania,1998,
Lithuania,1999,
Lithuania,2000,
Lithuania,2001,
Lithuania,2002,3
Lithuania,2003,
Lithuania,2004,
Lithuania,2005,
Lithuania,2006,
Lithuania,2007,
Lithuania,2008,
Lithuania,2009,
Lithuania,2010,
Lithuania,2011,
Lithuania,2012,
Lithuania,2013,
Lithuania,2014,
Lithuania,2015,
Lithuania,2016,
Lithuania,2017,
Lithuania,2018,60
Lithuania,2019,
Lithuania,2020,
Lithuania,2021,
Lithuania,2022,25
Lithuania,2023,8
Lithuania,2024,3
Lithuania,2025,
