country,year,tiv
Mexico,1950,
Mexico,1951,
Mexico,1952,
Mexico,1953,4
Mexico,1954,
Mexico,1955,
Mexico,1956,
Mexico,1957,
Mexico,1958,
Mexico,1959,
Mexico,1960,
Mexico,1961,
Mexico,1962,
Mexico,1963,
Mexico,1964,
Mexico,1965,
Mexico,1966,
Mexico,1967,
Mexico,1968,
Mexico,1969,
Mexico,1970,
Mexico,1971,
Mexico,1972,
Mexico,1973,
Mexico,1974,
Mexico,1975,
Mexico,1976,
Mexico,1977,
Mexico,1978,
Mexico,1979,
Mexico,1980,
Mexico,1981,
Mexico,1982,
Mexico,1983,
Mexico,1984,
Mexico,1985,
Mexico,1986,
Mexico,1987,
Mexico,1988,
Mexico,1989,
Mexico,1990,
Mexico,1991,8
Mexico,1992,
Mexico,1993,
Mexico,1994,
Mexico,1995,
Mexico,1996,
Mexico,1997,
Mexico,1998,
Mexico,1999,
Mexico,2000,
Mexico,2001,
Mexico,2002,
Mexico,2003,
Mexico,2004,
Mexico,2005,
Mexico,2006,
Mexico,2007,
Mexico,2008,
Mexico,2009,
Mexico,2010,
Mexico,2011,
Mexico,2012,
Mexico,2013,
Mexico,2014,
Mexico,2015,
Mexico,2016,
Mexico,2017,
Mexico,2018,
Mexico,2019,1
Mexico,2020,
Mexico,2021,
Mexico,2022,
Mexico,2023,
Mexico,2024,
Mexico,2025,
