country,year,tiv
Netherlands,1950,199
Netherlands,1951,63
Netherlands,1952,20
Netherlands,1953,7
Netherlands,1954,72
Netherlands,1955,255
Netherlands,1956,9
Netherlands,1957,8
Netherlands,1958,39
Netherlands,1959,41
Netherlands,1960,38
Netherlands,1961,105
Netherlands,1962,69
Netherlands,1963,43
Netherlands,1964,95
Netherlands,1965,40
Netherlands,1966,144
Netherlands,1967,95
Netherlands,1968,352
Netherlands,1969,107
Netherlands,1970,5
Netherlands,1971,155
Netherlands,1972,133
Netherlands,1973,203
Netherlands,1974,83
Netherlands,1975,148
Netherlands,1976,293
Netherlands,1977,444
Netherlands,1978,235
Netherlands,1979,243
Netherlands,1980,612
Netherlands,1981,801
Netherlands,1982,661
Netherlands,1983,457
Netherlands,1984,364
Netherlands,1985,180
Netherlands,1986,357
Netherlands,1987,506
Netherlands,1988,776
Netherlands,1989,558
Netherlands,1990,416
Netherlands,1991,455
Netherlands,1992,383
Netherlands,1993,458
Netherlands,1994,628
Netherlands,1995,458
Netherlands,1996,484
Netherlands,1997,619
Netherlands,1998,642
Netherlands,1999,355
Netherlands,2000,281
Netherlands,2001,199
Netherlands,2002,233
Netherlands,2003,331
Netherlands,2004,202
Netherlands,2005,496
Netherlands,2006,1147
Netherlands,2007,1228
Netherlands,2008,452
Netherlands,2009,504
Netherlands,2010,366
Netherlands,2011,541
Netherlands,2012,906
Netherlands,2013,384
Netherlands,2014,643
Netherlands,2015,469
Netherlands,2016,487
Netherlands,2017,1140
Netherlands,2018,468
Netherlands,2019,304
Netherlands,2020,497
Netherlands,2021,357
Netherlands,2022,324
Netherlands,2023,250
Netherlands,2024,370
Netherlands,2025,601
