country,year,tiv
New Zealand,1950,
New Zealand,1951,
New Zealand,1952,
New Zealand,1953,
New Zealand,1954,
New Zealand,1955,
New Zealand,1956,
New Zealand,1957,
New Zealand,1958,
New Zealand,1959,
New Zealand,1960,
New Zealand,1961,
New Zealand,1962,
New Zealand,1963,
New Zealand,1964,
New Zealand,1965,
New Zealand,1966,
New Zealand,1967,1
New Zealand,1968,1
New Zealand,1969,0
New Zealand,1970,
New Zealand,1971,
New Zealand,1972,0
New Zealand,1973,2
New Zealand,1974,5
New Zealand,1975,3
New Zealand,1976,
New Zealand,1977,
New Zealand,1978,
New Zealand,1979,
New Zealand,1980,
New Zealand,1981,1
New Zealand,1982,2
New Zealand,1983,
New Zealand,1984,10
New Zealand,1985,7
New Zealand,1986,0
New Zealand,1987,
New Zealand,1988,
New Zealand,1989,
New Zealand,1990,
New Zealand,1991,34
New Zealand,1992,4
New Zealand,1993,
New Zealand,1994,3
New Zealand,1995,
New Zealand,1996,
New Zealand,1997,
New Zealand,1998,
New Zealand,1999,1
New Zealand,2000,1
New Zealand,2001,
New Zealand,2002,1
New Zealand,2003,
New Zealand,2004,1
New Zealand,2005,0
New Zealand,2006,
New Zealand,2007,
New Zealand,2008,
New Zealand,2009,
New Zealand,2010,
New Zealand,2011,
New Zealand,2012,75
New Zealand,2013,
New Zealand,2014,
New Zealand,2015,1
New Zealand,2016,6
New Zealand,2017,
New Zealand,2018,7
New Zealand,2019,
New Zealand,2020,
New Zealand,2021,
New Zealand,2022,29
New Zealand,2023,20
New Zealand,2024,
New Zealand,2025,
