country,year,tiv
Nigeria,1950,
Nigeria,1951,
Nigeria,1952,
Nigeria,1953,
Nigeria,1954,
Nigeria,1955,
Nigeria,1956,
Nigeria,1957,
Nigeria,1958,
Nigeria,1959,
Nigeria,1960,
Nigeria,1961,
Nigeria,1962,
Nigeria,1963,
Nigeria,1964,
Nigeria,1965,
Nigeria,1966,
Nigeria,1967,
Nigeria,1968,
Nigeria,1969,
Nigeria,1970,
Nigeria,1971,
Nigeria,1972,
Nigeria,1973,
Nigeria,1974,
Nigeria,1975,
Nigeria,1976,
Nigeria,1977,
Nigeria,1978,
Nigeria,1979,
Nigeria,1980,
Nigeria,1981,
Nigeria,1982,
Nigeria,1983,
Nigeria,1984,
Nigeria,1985,
Nigeria,1986,
Nigeria,1987,
Nigeria,1988,
Nigeria,1989,2
Nigeria,1990,3
Nigeria,1991,
Nigeria,1992,
Nigeria,1993,
Nigeria,1994,
Nigeria,1995,
Nigeria,1996,
Nigeria,1997,
Nigeria,1998,
Nigeria,1999,
Nigeria,2000,0
Nigeria,2001,
Nigeria,2002,
Nigeria,2003,
Nigeria,2004,
Nigeria,2005,
Nigeria,2006,
Nigeria,2007,
Nigeria,2008,
Nigeria,2009,
Nigeria,2010,
Nigeria,2011,
Nigeria,2012,
Nigeria,2013,
Nigeria,2014,
Nigeria,2015,
Nigeria,2016,
Nigeria,2017,
Nigeria,2018,
Nigeria,2019,
Nigeria,2020,
Nigeria,2021,3
Nigeria,2022,4
Nigeria,2023,
Nigeria,2024,
Nigeria,2025,
