country,year,tiv
North Korea,1950,
North Korea,1951,
North Korea,1952,
North Korea,1953,
North Korea,1954,
North Korea,1955,
North Korea,1956,
North Korea,1957,
North Korea,1958,
North Korea,1959,
North Korea,1960,
North Korea,1961,
North Korea,1962,
North Korea,1963,
North Korea,1964,
North Korea,1965,
North Korea,1966,
North Korea,1967,
North Korea,1968,
North Korea,1969,
North Korea,1970,
North Korea,1971,
North Korea,1972,
North Korea,1973,
North Korea,1974,8
North Korea,1975,12
North Korea,1976,
North Korea,1977,
North Korea,1978,
North Korea,1979,20
North Korea,1980,43
North Korea,1981,27
North Korea,1982,129
North Korea,1983,231
North Korea,1984,185
North Korea,1985,154
North Korea,1986,53
North Korea,1987,189
North Korea,1988,179
North Korea,1989,65
North Korea,1990,6
North Korea,1991,85
North Korea,1992,98
North Korea,1993,104
North Korea,1994,21
North Korea,1995,33
North Korea,1996,35
North Korea,1997,35
North Korea,1998,59
North Korea,1999,42
North Korea,2000,40
North Korea,2001,53
North Korea,2002,150
North Korea,2003,129
North Korea,2004,42
North Korea,2005,15
North Korea,2006,15
North Korea,2007,15
North Korea,2008,15
North Korea,2009,23
North Korea,2010,7
North Korea,2011,
North Korea,2012,
North Korea,2013,
North Korea,2014,1
North Korea,2015,
North Korea,2016,
North Korea,2017,
North Korea,2018,
North Korea,2019,
North Korea,2020,
North Korea,2021,
North Korea,2022,
North Korea,2023,9
North Korea,2024,211
North Korea,2025,44
