country,year,tiv
North Macedonia,1950,
North Macedonia,1951,
North Macedonia,1952,
North Macedonia,1953,
North Macedonia,1954,
North Macedonia,1955,
North Macedonia,1956,
North Macedonia,1957,
North Macedonia,1958,
North Macedonia,1959,
North Macedonia,1960,
North Macedonia,1961,
North Macedonia,1962,
North Macedonia,1963,
North Macedonia,1964,
North Macedonia,1965,
North Macedonia,1966,
North Macedonia,1967,
North Macedonia,1968,
North Macedonia,1969,
North Macedonia,1970,
North Macedonia,1971,
North Macedonia,1972,
North Macedonia,1973,
North Macedonia,1974,
North Macedonia,1975,
North Macedonia,1976,
North Macedonia,1977,
North Macedonia,1978,
North Macedonia,1979,
North Macedonia,1980,
North Macedonia,1981,
North Macedonia,1982,
North Macedonia,1983,
North Macedonia,1984,
North Macedonia,1985,
North Macedonia,1986,
North Macedonia,1987,
North Macedonia,1988,
North Macedonia,1989,
North Macedonia,1990,
North Macedonia,1991,
North Macedonia,1992,
North Macedonia,1993,
North Macedonia,1994,
North Macedonia,1995,
North Macedonia,1996,
North Macedonia,1997,
North Macedonia,1998,
North Macedonia,1999,
North Macedonia,2000,
North Macedonia,2001,
North Macedonia,2002,
North Macedonia,2003,
North Macedonia,2004,
North Macedonia,2005,
North Macedonia,2006,
North Macedonia,2007,
North Macedonia,2008,
North Macedonia,2009,
North Macedonia,2010,
North Macedonia,2011,
North Macedonia,2012,
North Macedonia,2013,
North Macedonia,2014,
North Macedonia,2015,
North Macedonia,2016,
North Macedonia,2017,
North Macedonia,2018,
North Macedonia,2019,
North Macedonia,2020,
North Macedonia,2021,
North Macedonia,2022,31
North Macedonia,2023,59
North Macedonia,2024,
North Macedonia,2025,
