country,year,tiv
Norway,1950,2
Norway,1951,30
Norway,1952,
Norway,1953,8
Norway,1954,
Norway,1955,
Norway,1956,
Norway,1957,
Norway,1958,
Norway,1959,8
Norway,1960,38
Norway,1961,
Norway,1962,37
Norway,1963,55
Norway,1964,139
Norway,1965,65
Norway,1966,80
Norway,1967,164
Norway,1968,77
Norway,1969,40
Norway,1970,
Norway,1971,4
Norway,1972,29
Norway,1973,10
Norway,1974,
Norway,1975,6
Norway,1976,6
Norway,1977,6
Norway,1978,87
Norway,1979,135
Norway,1980,121
Norway,1981,238
Norway,1982,49
Norway,1983,35
Norway,1984,
Norway,1985,42
Norway,1986,29
Norway,1987,54
Norway,1988,34
Norway,1989,127
Norway,1990,85
Norway,1991,166
Norway,1992,78
Norway,1993,37
Norway,1994,39
Norway,1995,15
Norway,1996,4
Norway,1997,10
Norway,1998,3
Norway,1999,3
Norway,2000,2
Norway,2001,31
Norway,2002,78
Norway,2003,91
Norway,2004,59
Norway,2005,6
Norway,2006,14
Norway,2007,3
Norway,2008,8
Norway,2009,31
Norway,2010,
Norway,2011,62
Norway,2012,52
Norway,2013,97
Norway,2014,87
Norway,2015,117
Norway,2016,85
Norway,2017,98
Norway,2018,71
Norway,2019,27
Norway,2020,60
Norway,2021,102
Norway,2022,120
Norway,2023,327
Norway,2024,569
Norway,2025,415
