country,year,tiv
Panama,1950,
Panama,1951,
Panama,1952,
Panama,1953,
Panama,1954,
Panama,1955,
Panama,1956,
Panama,1957,
Panama,1958,
Panama,1959,
Panama,1960,
Panama,1961,
Panama,1962,
Panama,1963,
Panama,1964,
Panama,1965,
Panama,1966,
Panama,1967,
Panama,1968,
Panama,1969,
Panama,1970,
Panama,1971,
Panama,1972,
Panama,1973,
Panama,1974,
Panama,1975,
Panama,1976,
Panama,1977,
Panama,1978,
Panama,1979,2
Panama,1980,
Panama,1981,
Panama,1982,
Panama,1983,
Panama,1984,
Panama,1985,
Panama,1986,
Panama,1987,
Panama,1988,
Panama,1989,
Panama,1990,
Panama,1991,
Panama,1992,
Panama,1993,
Panama,1994,
Panama,1995,
Panama,1996,
Panama,1997,
Panama,1998,
Panama,1999,
Panama,2000,
Panama,2001,
Panama,2002,
Panama,2003,
Panama,2004,
Panama,2005,
Panama,2006,
Panama,2007,
Panama,2008,
Panama,2009,
Panama,2010,
Panama,2011,
Panama,2012,
Panama,2013,
Panama,2014,
Panama,2015,
Panama,2016,
Panama,2017,
Panama,2018,
Panama,2019,1
Panama,2020,
Panama,2021,
Panama,2022,
Panama,2023,
Panama,2024,
Panama,2025,
