country,year,tiv
Philippines,1950,
Philippines,1951,
Philippines,1952,
Philippines,1953,
Philippines,1954,
Philippines,1955,
Philippines,1956,
Philippines,1957,
Philippines,1958,
Philippines,1959,
Philippines,1960,
Philippines,1961,
Philippines,1962,
Philippines,1963,
Philippines,1964,
Philippines,1965,
Philippines,1966,
Philippines,1967,
Philippines,1968,
Philippines,1969,
Philippines,1970,
Philippines,1971,
Philippines,1972,
Philippines,1973,
Philippines,1974,
Philippines,1975,
Philippines,1976,
Philippines,1977,
Philippines,1978,
Philippines,1979,
Philippines,1980,
Philippines,1981,
Philippines,1982,
Philippines,1983,
Philippines,1984,
Philippines,1985,
Philippines,1986,1
Philippines,1987,
Philippines,1988,
Philippines,1989,
Philippines,1990,
Philippines,1991,
Philippines,1992,
Philippines,1993,
Philippines,1994,
Philippines,1995,
Philippines,1996,
Philippines,1997,
Philippines,1998,
Philippines,1999,
Philippines,2000,
Philippines,2001,
Philippines,2002,
Philippines,2003,
Philippines,2004,
Philippines,2005,
Philippines,2006,
Philippines,2007,4
Philippines,2008,
Philippines,2009,
Philippines,2010,
Philippines,2011,
Philippines,2012,
Philippines,2013,
Philippines,2014,
Philippines,2015,
Philippines,2016,
Philippines,2017,
Philippines,2018,
Philippines,2019,
Philippines,2020,
Philippines,2021,
Philippines,2022,
Philippines,2023,
Philippines,2024,
Philippines,2025,
