country,year,tiv
Poland,1950,
Poland,1951,
Poland,1952,
Poland,1953,
Poland,1954,
Poland,1955,
Poland,1956,
Poland,1957,
Poland,1958,
Poland,1959,
Poland,1960,0
Poland,1961,
Poland,1962,7
Poland,1963,111
Poland,1964,237
Poland,1965,234
Poland,1966,319
Poland,1967,309
Poland,1968,288
Poland,1969,323
Poland,1970,268
Poland,1971,278
Poland,1972,276
Poland,1973,158
Poland,1974,249
Poland,1975,316
Poland,1976,425
Poland,1977,400
Poland,1978,336
Poland,1979,247
Poland,1980,226
Poland,1981,365
Poland,1982,230
Poland,1983,134
Poland,1984,91
Poland,1985,131
Poland,1986,265
Poland,1987,222
Poland,1988,232
Poland,1989,20
Poland,1990,112
Poland,1991,62
Poland,1992,57
Poland,1993,
Poland,1994,133
Poland,1995,179
Poland,1996,57
Poland,1997,23
Poland,1998,1
Poland,1999,65
Poland,2000,47
Poland,2001,81
Poland,2002,56
Poland,2003,83
Poland,2004,47
Poland,2005,18
Poland,2006,282
Poland,2007,163
Poland,2008,73
Poland,2009,75
Poland,2010,28
Poland,2011,8
Poland,2012,31
Poland,2013,147
Poland,2014,33
Poland,2015,2
Poland,2016,5
Poland,2017,8
Poland,2018,11
Poland,2019,10
Poland,2020,0
Poland,2021,3
Poland,2022,707
Poland,2023,576
Poland,2024,145
Poland,2025,59
