country,year,tiv
Portugal,1950,
Portugal,1951,
Portugal,1952,
Portugal,1953,
Portugal,1954,
Portugal,1955,
Portugal,1956,
Portugal,1957,
Portugal,1958,
Portugal,1959,
Portugal,1960,
Portugal,1961,
Portugal,1962,
Portugal,1963,
Portugal,1964,
Portugal,1965,
Portugal,1966,
Portugal,1967,2
Portugal,1968,
Portugal,1969,
Portugal,1970,
Portugal,1971,3
Portugal,1972,
Portugal,1973,6
Portugal,1974,11
Portugal,1975,93
Portugal,1976,21
Portugal,1977,
Portugal,1978,4
Portugal,1979,4
Portugal,1980,2
Portugal,1981,
Portugal,1982,
Portugal,1983,1
Portugal,1984,
Portugal,1985,
Portugal,1986,1
Portugal,1987,1
Portugal,1988,
Portugal,1989,71
Portugal,1990,
Portugal,1991,
Portugal,1992,
Portugal,1993,2
Portugal,1994,
Portugal,1995,
Portugal,1996,
Portugal,1997,
Portugal,1998,
Portugal,1999,
Portugal,2000,
Portugal,2001,
Portugal,2002,
Portugal,2003,
Portugal,2004,
Portugal,2005,
Portugal,2006,
Portugal,2007,
Portugal,2008,99
Portugal,2009,46
Portugal,2010,
Portugal,2011,0
Portugal,2012,0
Portugal,2013,
Portugal,2014,18
Portugal,2015,7
Portugal,2016,172
Portugal,2017,56
Portugal,2018,3
Portugal,2019,3
Portugal,2020,46
Portugal,2021,11
Portugal,2022,2
Portugal,2023,8
Portugal,2024,37
Portugal,2025,1
