country,year,tiv
Saudi Arabia,1950,
Saudi Arabia,1951,
Saudi Arabia,1952,
Saudi Arabia,1953,
Saudi Arabia,1954,
Saudi Arabia,1955,0
Saudi Arabia,1956,
Saudi Arabia,1957,
Saudi Arabia,1958,
Saudi Arabia,1959,
Saudi Arabia,1960,
Saudi Arabia,1961,
Saudi Arabia,1962,
Saudi Arabia,1963,
Saudi Arabia,1964,
Saudi Arabia,1965,
Saudi Arabia,1966,
Saudi Arabia,1967,4
Saudi Arabia,1968,3
Saudi Arabia,1969,
Saudi Arabia,1970,
Saudi Arabia,1971,
Saudi Arabia,1972,2
Saudi Arabia,1973,
Saudi Arabia,1974,
Saudi Arabia,1975,
Saudi Arabia,1976,0
Saudi Arabia,1977,13
Saudi Arabia,1978,
Saudi Arabia,1979,5
Saudi Arabia,1980,
Saudi Arabia,1981,33
Saudi Arabia,1982,
Saudi Arabia,1983,
Saudi Arabia,1984,6
Saudi Arabia,1985,4
Saudi Arabia,1986,
Saudi Arabia,1987,
Saudi Arabia,1988,
Saudi Arabia,1989,
Saudi Arabia,1990,
Saudi Arabia,1991,
Saudi Arabia,1992,
Saudi Arabia,1993,12
Saudi Arabia,1994,
Saudi Arabia,1995,
Saudi Arabia,1996,1
Saudi Arabia,1997,
Saudi Arabia,1998,
Saudi Arabia,1999,
Saudi Arabia,2000,
Saudi Arabia,2001,
Saudi Arabia,2002,
Saudi Arabia,2003,
Saudi Arabia,2004,
Saudi Arabia,2005,
Saudi Arabia,2006,18
Saudi Arabia,2007,
Saudi Arabia,2008,
Saudi Arabia,2009,
Saudi Arabia,2010,1
Saudi Arabia,2011,58
Saudi Arabia,2012,
Saudi Arabia,2013,
Saudi Arabia,2014,
Saudi Arabia,2015,3
Saudi Arabia,2016,5
Saudi Arabia,2017,
Saudi Arabia,2018,
Saudi Arabia,2019,
Saudi Arabia,2020,
Saudi Arabia,2021,
Saudi Arabia,2022,
Saudi Arabia,2023,3
Saudi Arabia,2024,
Saudi Arabia,2025,
