country,year,tiv
Singapore,1950,
Singapore,1951,
Singapore,1952,
Singapore,1953,
Singapore,1954,
Singapore,1955,
Singapore,1956,
Singapore,1957,
Singapore,1958,
Singapore,1959,
Singapore,1960,
Singapore,1961,
Singapore,1962,
Singapore,1963,
Singapore,1964,
Singapore,1965,
Singapore,1966,
Singapore,1967,
Singapore,1968,
Singapore,1969,
Singapore,1970,
Singapore,1971,2
Singapore,1972,
Singapore,1973,
Singapore,1974,
Singapore,1975,17
Singapore,1976,
Singapore,1977,
Singapore,1978,29
Singapore,1979,72
Singapore,1980,
Singapore,1981,15
Singapore,1982,
Singapore,1983,25
Singapore,1984,38
Singapore,1985,26
Singapore,1986,
Singapore,1987,81
Singapore,1988,25
Singapore,1989,87
Singapore,1990,44
Singapore,1991,3
Singapore,1992,3
Singapore,1993,11
Singapore,1994,30
Singapore,1995,
Singapore,1996,1
Singapore,1997,46
Singapore,1998,23
Singapore,1999,11
Singapore,2000,12
Singapore,2001,
Singapore,2002,4
Singapore,2003,
Singapore,2004,65
Singapore,2005,
Singapore,2006,
Singapore,2007,
Singapore,2008,
Singapore,2009,35
Singapore,2010,32
Singapore,2011,17
Singapore,2012,79
Singapore,2013,7
Singapore,2014,12
Singapore,2015,80
Singapore,2016,77
Singapore,2017,
Singapore,2018,
Singapore,2019,
Singapore,2020,24
Singapore,2021,72
Singapore,2022,36
Singapore,2023,11
Singapore,2024,
Singapore,2025,79
