country,year,tiv
Slovakia,1950,
Slovakia,1951,
Slovakia,1952,
Slovakia,1953,
Slovakia,1954,
Slovakia,1955,
Slovakia,1956,
Slovakia,1957,
Slovakia,1958,
Slovakia,1959,
Slovakia,1960,
Slovakia,1961,
Slovakia,1962,
Slovakia,1963,
Slovakia,1964,
Slovakia,1965,
Slovakia,1966,
Slovakia,1967,
Slovakia,1968,
Slovakia,1969,
Slovakia,1970,
Slovakia,1971,
Slovakia,1972,
Slovakia,1973,
Slovakia,1974,
Slovakia,1975,
Slovakia,1976,
Slovakia,1977,
Slovakia,1978,
Slovakia,1979,
Slovakia,1980,
Slovakia,1981,
Slovakia,1982,
Slovakia,1983,
Slovakia,1984,
Slovakia,1985,
Slovakia,1986,
Slovakia,1987,
Slovakia,1988,
Slovakia,1989,
Slovakia,1990,
Slovakia,1991,
Slovakia,1992,
Slovakia,1993,178
Slovakia,1994,40
Slovakia,1995,100
Slovakia,1996,62
Slovakia,1997,58
Slovakia,1998,10
Slovakia,1999,125
Slovakia,2000,37
Slovakia,2001,54
Slovakia,2002,33
Slovakia,2003,
Slovakia,2004,46
Slovakia,2005,
Slovakia,2006,3
Slovakia,2007,22
Slovakia,2008,9
Slovakia,2009,
Slovakia,2010,
Slovakia,2011,
Slovakia,2012,5
Slovakia,2013,1
Slovakia,2014,8
Slovakia,2015,3
Slovakia,2016,20
Slovakia,2017,22
Slovakia,2018,12
Slovakia,2019,8
Slovakia,2020,11
Slovakia,2021,
Slovakia,2022,71
Slovakia,2023,154
Slovakia,2024,
Slovakia,2025,9
