country,year,tiv
South Korea,1950,
South Korea,1951,
South Korea,1952,
South Korea,1953,
South Korea,1954,
South Korea,1955,
South Korea,1956,
South Korea,1957,
South Korea,1958,
South Korea,1959,
South Korea,1960,
South Korea,1961,
South Korea,1962,
South Korea,1963,
South Korea,1964,
South Korea,1965,
South Korea,1966,
South Korea,1967,
South Korea,1968,
South Korea,1969,
South Korea,1970,
South Korea,1971,
South Korea,1972,141
South Korea,1973,
South Korea,1974,
South Korea,1975,
South Korea,1976,
South Korea,1977,
South Korea,1978,
South Korea,1979,105
South Korea,1980,105
South Korea,1981,130
South Korea,1982,65
South Korea,1983,
South Korea,1984,126
South Korea,1985,28
South Korea,1986,73
South Korea,1987,
South Korea,1988,54
South Korea,1989,48
South Korea,1990,72
South Korea,1991,118
South Korea,1992,
South Korea,1993,62
South Korea,1994,7
South Korea,1995,30
South Korea,1996,24
South Korea,1997,25
South Korea,1998,32
South Korea,1999,
South Korea,2000,36
South Korea,2001,230
South Korea,2002,
South Korea,2003,96
South Korea,2004,74
South Korea,2005,109
South Korea,2006,158
South Korea,2007,278
South Korea,2008,110
South Korea,2009,224
South Korea,2010,177
South Korea,2011,328
South Korea,2012,203
South Korea,2013,350
South Korea,2014,218
South Korea,2015,92
South Korea,2016,435
South Korea,2017,700
South Korea,2018,1054
South Korea,2019,675
South Korea,2020,829
South Korea,2021,536
South Korea,2022,231
South Korea,2023,675
South Korea,2024,1102
South Korea,2025,2020
