country,year,tiv
South Yemen,1950,
South Yemen,1951,
South Yemen,1952,
South Yemen,1953,
South Yemen,1954,
South Yemen,1955,
South Yemen,1956,
South Yemen,1957,
South Yemen,1958,
South Yemen,1959,
South Yemen,1960,
South Yemen,1961,
South Yemen,1962,
South Yemen,1963,
South Yemen,1964,
South Yemen,1965,
South Yemen,1966,
South Yemen,1967,
South Yemen,1968,
South Yemen,1969,
South Yemen,1970,
South Yemen,1971,
South Yemen,1972,
South Yemen,1973,
South Yemen,1974,
South Yemen,1975,6
South Yemen,1976,
South Yemen,1977,
South Yemen,1978,
South Yemen,1979,
South Yemen,1980,
South Yemen,1981,
South Yemen,1982,
South Yemen,1983,
South Yemen,1984,
South Yemen,1985,
South Yemen,1986,51
South Yemen,1987,
South Yemen,1988,
South Yemen,1989,
South Yemen,1990,
South Yemen,1991,
South Yemen,1992,
South Yemen,1993,
South Yemen,1994,
South Yemen,1995,
South Yemen,1996,
South Yemen,1997,
South Yemen,1998,
South Yemen,1999,
South Yemen,2000,
South Yemen,2001,
South Yemen,2002,
South Yemen,2003,
South Yemen,2004,
South Yemen,2005,
South Yemen,2006,
South Yemen,2007,
South Yemen,2008,
South Yemen,2009,
South Yemen,2010,
South Yemen,2011,
South Yemen,2012,
South Yemen,2013,
South Yemen,2014,
South Yemen,2015,
South Yemen,2016,
South Yemen,2017,
South Yemen,2018,
South Yemen,2019,
South Yemen,2020,
South Yemen,2021,
South Yemen,2022,
South Yemen,2023,
South Yemen,2024,
South Yemen,2025,
