country,year,tiv
Spain,1950,
Spain,1951,
Spain,1952,
Spain,1953,
Spain,1954,
Spain,1955,
Spain,1956,
Spain,1957,
Spain,1958,
Spain,1959,
Spain,1960,2
Spain,1961,8
Spain,1962,10
Spain,1963,10
Spain,1964,12
Spain,1965,33
Spain,1966,26
Spain,1967,12
Spain,1968,12
Spain,1969,10
Spain,1970,70
Spain,1971,140
Spain,1972,18
Spain,1973,18
Spain,1974,82
Spain,1975,272
Spain,1976,46
Spain,1977,25
Spain,1978,38
Spain,1979,18
Spain,1980,10
Spain,1981,135
Spain,1982,263
Spain,1983,367
Spain,1984,244
Spain,1985,92
Spain,1986,197
Spain,1987,152
Spain,1988,136
Spain,1989,167
Spain,1990,116
Spain,1991,103
Spain,1992,70
Spain,1993,103
Spain,1994,253
Spain,1995,88
Spain,1996,112
Spain,1997,605
Spain,1998,174
Spain,1999,46
Spain,2000,47
Spain,2001,8
Spain,2002,18
Spain,2003,99
Spain,2004,54
Spain,2005,113
Spain,2006,898
Spain,2007,628
Spain,2008,626
Spain,2009,984
Spain,2010,273
Spain,2011,997
Spain,2012,266
Spain,2013,450
Spain,2014,962
Spain,2015,982
Spain,2016,481
Spain,2017,820
Spain,2018,705
Spain,2019,318
Spain,2020,1005
Spain,2021,676
Spain,2022,1014
Spain,2023,912
Spain,2024,606
Spain,2025,341
