country,year,tiv
Sweden,1950,27
Sweden,1951,46
Sweden,1952,64
Sweden,1953,165
Sweden,1954,21
Sweden,1955,104
Sweden,1956,95
Sweden,1957,111
Sweden,1958,280
Sweden,1959,15
Sweden,1960,38
Sweden,1961,46
Sweden,1962,44
Sweden,1963,13
Sweden,1964,22
Sweden,1965,32
Sweden,1966,56
Sweden,1967,55
Sweden,1968,60
Sweden,1969,36
Sweden,1970,158
Sweden,1971,547
Sweden,1972,163
Sweden,1973,15
Sweden,1974,75
Sweden,1975,69
Sweden,1976,101
Sweden,1977,75
Sweden,1978,55
Sweden,1979,261
Sweden,1980,157
Sweden,1981,127
Sweden,1982,120
Sweden,1983,118
Sweden,1984,227
Sweden,1985,215
Sweden,1986,320
Sweden,1987,230
Sweden,1988,512
Sweden,1989,401
Sweden,1990,224
Sweden,1991,155
Sweden,1992,147
Sweden,1993,103
Sweden,1994,111
Sweden,1995,226
Sweden,1996,344
Sweden,1997,99
Sweden,1998,332
Sweden,1999,383
Sweden,2000,355
Sweden,2001,892
Sweden,2002,164
Sweden,2003,516
Sweden,2004,297
Sweden,2005,536
Sweden,2006,384
Sweden,2007,332
Sweden,2008,461
Sweden,2009,389
Sweden,2010,612
Sweden,2011,658
Sweden,2012,436
Sweden,2013,383
Sweden,2014,340
Sweden,2015,178
Sweden,2016,248
Sweden,2017,75
Sweden,2018,135
Sweden,2019,121
Sweden,2020,263
Sweden,2021,236
Sweden,2022,83
Sweden,2023,373
Sweden,2024,405
Sweden,2025,235
