country,year,tiv
Switzerland,1950,
Switzerland,1951,
Switzerland,1952,
Switzerland,1953,
Switzerland,1954,
Switzerland,1955,
Switzerland,1956,
Switzerland,1957,
Switzerland,1958,
Switzerland,1959,49
Switzerland,1960,435
Switzerland,1961,493
Switzerland,1962,534
Switzerland,1963,351
Switzerland,1964,394
Switzerland,1965,484
Switzerland,1966,367
Switzerland,1967,261
Switzerland,1968,88
Switzerland,1969,106
Switzerland,1970,18
Switzerland,1971,42
Switzerland,1972,34
Switzerland,1973,54
Switzerland,1974,89
Switzerland,1975,484
Switzerland,1976,592
Switzerland,1977,339
Switzerland,1978,223
Switzerland,1979,488
Switzerland,1980,566
Switzerland,1981,559
Switzerland,1982,413
Switzerland,1983,331
Switzerland,1984,529
Switzerland,1985,347
Switzerland,1986,340
Switzerland,1987,319
Switzerland,1988,375
Switzerland,1989,318
Switzerland,1990,475
Switzerland,1991,508
Switzerland,1992,457
Switzerland,1993,232
Switzerland,1994,176
Switzerland,1995,144
Switzerland,1996,204
Switzerland,1997,131
Switzerland,1998,198
Switzerland,1999,227
Switzerland,2000,140
Switzerland,2001,219
Switzerland,2002,178
Switzerland,2003,207
Switzerland,2004,293
Switzerland,2005,274
Switzerland,2006,320
Switzerland,2007,325
Switzerland,2008,506
Switzerland,2009,260
Switzerland,2010,285
Switzerland,2011,349
Switzerland,2012,257
Switzerland,2013,213
Switzerland,2014,352
Switzerland,2015,491
Switzerland,2016,220
Switzerland,2017,175
Switzerland,2018,244
Switzerland,2019,222
Switzerland,2020,145
Switzerland,2021,107
Switzerland,2022,181
Switzerland,2023,63
Switzerland,2024,11
Switzerland,2025,129
