country,year,tiv
Syria,1950,
Syria,1951,
Syria,1952,
Syria,1953,
Syria,1954,
Syria,1955,
Syria,1956,
Syria,1957,
Syria,1958,
Syria,1959,
Syria,1960,
Syria,1961,
Syria,1962,
Syria,1963,
Syria,1964,
Syria,1965,
Syria,1966,
Syria,1967,
Syria,1968,
Syria,1969,
Syria,1970,17
Syria,1971,
Syria,1972,
Syria,1973,
Syria,1974,2
Syria,1975,2
Syria,1976,
Syria,1977,0
Syria,1978,
Syria,1979,
Syria,1980,
Syria,1981,
Syria,1982,178
Syria,1983,46
Syria,1984,1
Syria,1985,32
Syria,1986,31
Syria,1987,
Syria,1988,15
Syria,1989,
Syria,1990,
Syria,1991,
Syria,1992,40
Syria,1993,40
Syria,1994,
Syria,1995,
Syria,1996,0
Syria,1997,0
Syria,1998,
Syria,1999,
Syria,2000,
Syria,2001,
Syria,2002,
Syria,2003,
Syria,2004,
Syria,2005,
Syria,2006,3
Syria,2007,
Syria,2008,
Syria,2009,33
Syria,2010,30
Syria,2011,
Syria,2012,
Syria,2013,
Syria,2014,
Syria,2015,
Syria,2016,
Syria,2017,
Syria,2018,
Syria,2019,
Syria,2020,
Syria,2021,
Syria,2022,
Syria,2023,
Syria,2024,
Syria,2025,
