country,year,tiv
Taiwan,1950,
Taiwan,1951,
Taiwan,1952,
Taiwan,1953,
Taiwan,1954,
Taiwan,1955,
Taiwan,1956,
Taiwan,1957,
Taiwan,1958,
Taiwan,1959,
Taiwan,1960,
Taiwan,1961,
Taiwan,1962,
Taiwan,1963,
Taiwan,1964,
Taiwan,1965,
Taiwan,1966,
Taiwan,1967,12
Taiwan,1968,
Taiwan,1969,
Taiwan,1970,
Taiwan,1971,
Taiwan,1972,154
Taiwan,1973,
Taiwan,1974,
Taiwan,1975,
Taiwan,1976,
Taiwan,1977,
Taiwan,1978,
Taiwan,1979,1
Taiwan,1980,
Taiwan,1981,
Taiwan,1982,
Taiwan,1983,
Taiwan,1984,
Taiwan,1985,
Taiwan,1986,
Taiwan,1987,
Taiwan,1988,
Taiwan,1989,42
Taiwan,1990,6
Taiwan,1991,
Taiwan,1992,
Taiwan,1993,
Taiwan,1994,
Taiwan,1995,
Taiwan,1996,4
Taiwan,1997,
Taiwan,1998,
Taiwan,1999,
Taiwan,2000,
Taiwan,2001,6
Taiwan,2002,
Taiwan,2003,
Taiwan,2004,
Taiwan,2005,
Taiwan,2006,
Taiwan,2007,
Taiwan,2008,
Taiwan,2009,16
Taiwan,2010,
Taiwan,2011,
Taiwan,2012,2
Taiwan,2013,
Taiwan,2014,
Taiwan,2015,4
Taiwan,2016,2
Taiwan,2017,2
Taiwan,2018,
Taiwan,2019,2
Taiwan,2020,2
Taiwan,2021,3
Taiwan,2022,
Taiwan,2023,
Taiwan,2024,
Taiwan,2025,4
