country,year,tiv
Total world export,1950,8150
Total world export,1951,11477
Total world export,1952,16619
Total world export,1953,23559
Total world export,1954,20442
Total world export,1955,20486
Total world export,1956,24664
Total world export,1957,23621
Total world export,1958,25041
Total world export,1959,21209
Total world export,1960,17600
Total world export,1961,16398
Total world export,1962,17526
Total world export,1963,20273
Total world export,1964,26727
Total world export,1965,25821
Total world export,1966,25770
Total world export,1967,25573
Total world export,1968,26129
Total world export,1969,28136
Total world export,1970,25270
Total world export,1971,32851
Total world export,1972,34526
Total world export,1973,36300
Total world export,1974,36584
Total world export,1975,37148
Total world export,1976,35973
Total world export,1977,39967
Total world export,1978,42371
Total world export,1979,38356
Total world export,1980,42226
Total world export,1981,45806
Total world export,1982,46203
Total world export,1983,43912
Total world export,1984,41611
Total world export,1985,38167
Total world export,1986,39023
Total world export,1987,39395
Total world export,1988,36766
Total world export,1989,34908
Total world export,1990,30232
Total world export,1991,28161
Total world export,1992,24306
Total world export,1993,25820
Total world export,1994,22947
Total world export,1995,22942
Total world export,1996,23732
Total world export,1997,28886
Total world export,1998,27912
Total world export,1999,25383
Total world export,2000,20518
Total world export,2001,18495
Total world export,2002,17681
Total world export,2003,19146
Total world export,2004,21275
Total world export,2005,21389
Total world export,2006,24528
Total world export,2007,26511
Total world export,2008,24120
Total world export,2009,24444
Total world export,2010,25832
Total world export,2011,29928
Total world export,2012,27937
Total world export,2013,27407
Total world export,2014,27127
Total world export,2015,28722
Total world export,2016,31481
Total world export,2017,31279
Total world export,2018,27368
Total world export,2019,27036
Total world export,2020,24055
Total world export,2021,27084
Total world export,2022,33297
Total world export,2023,29527
Total world export,2024,30721
Total world export,2025,33535
