country,year,tiv
Turkiye,1950,
Turkiye,1951,
Turkiye,1952,
Turkiye,1953,
Turkiye,1954,
Turkiye,1955,
Turkiye,1956,0
Turkiye,1957,
Turkiye,1958,
Turkiye,1959,
Turkiye,1960,
Turkiye,1961,
Turkiye,1962,
Turkiye,1963,
Turkiye,1964,
Turkiye,1965,
Turkiye,1966,
Turkiye,1967,
Turkiye,1968,
Turkiye,1969,
Turkiye,1970,
Turkiye,1971,
Turkiye,1972,
Turkiye,1973,
Turkiye,1974,
Turkiye,1975,
Turkiye,1976,
Turkiye,1977,
Turkiye,1978,
Turkiye,1979,
Turkiye,1980,23
Turkiye,1981,11
Turkiye,1982,
Turkiye,1983,
Turkiye,1984,
Turkiye,1985,
Turkiye,1986,
Turkiye,1987,
Turkiye,1988,
Turkiye,1989,
Turkiye,1990,
Turkiye,1991,
Turkiye,1992,
Turkiye,1993,
Turkiye,1994,
Turkiye,1995,3
Turkiye,1996,3
Turkiye,1997,0
Turkiye,1998,3
Turkiye,1999,46
Turkiye,2000,21
Turkiye,2001,5
Turkiye,2002,28
Turkiye,2003,45
Turkiye,2004,30
Turkiye,2005,26
Turkiye,2006,68
Turkiye,2007,88
Turkiye,2008,123
Turkiye,2009,78
Turkiye,2010,79
Turkiye,2011,95
Turkiye,2012,149
Turkiye,2013,146
Turkiye,2014,166
Turkiye,2015,244
Turkiye,2016,258
Turkiye,2017,184
Turkiye,2018,257
Turkiye,2019,286
Turkiye,2020,275
Turkiye,2021,526
Turkiye,2022,628
Turkiye,2023,698
Turkiye,2024,411
Turkiye,2025,539
