country,year,tiv
Uganda,1950,
Uganda,1951,
Uganda,1952,
Uganda,1953,
Uganda,1954,
Uganda,1955,
Uganda,1956,
Uganda,1957,
Uganda,1958,
Uganda,1959,
Uganda,1960,
Uganda,1961,
Uganda,1962,
Uganda,1963,
Uganda,1964,
Uganda,1965,
Uganda,1966,
Uganda,1967,
Uganda,1968,0
Uganda,1969,
Uganda,1970,
Uganda,1971,
Uganda,1972,
Uganda,1973,
Uganda,1974,
Uganda,1975,
Uganda,1976,
Uganda,1977,
Uganda,1978,
Uganda,1979,
Uganda,1980,
Uganda,1981,
Uganda,1982,
Uganda,1983,
Uganda,1984,
Uganda,1985,
Uganda,1986,
Uganda,1987,
Uganda,1988,
Uganda,1989,
Uganda,1990,
Uganda,1991,
Uganda,1992,
Uganda,1993,
Uganda,1994,
Uganda,1995,
Uganda,1996,
Uganda,1997,
Uganda,1998,
Uganda,1999,
Uganda,2000,
Uganda,2001,
Uganda,2002,
Uganda,2003,
Uganda,2004,
Uganda,2005,
Uganda,2006,
Uganda,2007,
Uganda,2008,
Uganda,2009,
Uganda,2010,
Uganda,2011,
Uganda,2012,
Uganda,2013,
Uganda,2014,
Uganda,2015,
Uganda,2016,4
Uganda,2017,
Uganda,2018,
Uganda,2019,
Uganda,2020,
Uganda,2021,
Uganda,2022,
Uganda,2023,
Uganda,2024,
Uganda,2025,
