country,year,tiv
Ukraine,1950,
Ukraine,1951,
Ukraine,1952,
Ukraine,1953,
Ukraine,1954,
Ukraine,1955,
Ukraine,1956,12
Ukraine,1957,
Ukraine,1958,
Ukraine,1959,
Ukraine,1960,
Ukraine,1961,
Ukraine,1962,
Ukraine,1963,
Ukraine,1964,
Ukraine,1965,
Ukraine,1966,
Ukraine,1967,
Ukraine,1968,
Ukraine,1969,
Ukraine,1970,
Ukraine,1971,
Ukraine,1972,
Ukraine,1973,
Ukraine,1974,
Ukraine,1975,
Ukraine,1976,
Ukraine,1977,
Ukraine,1978,
Ukraine,1979,
Ukraine,1980,
Ukraine,1981,
Ukraine,1982,
Ukraine,1983,
Ukraine,1984,
Ukraine,1985,
Ukraine,1986,
Ukraine,1987,
Ukraine,1988,
Ukraine,1989,
Ukraine,1990,
Ukraine,1991,
Ukraine,1992,165
Ukraine,1993,84
Ukraine,1994,240
Ukraine,1995,169
Ukraine,1996,223
Ukraine,1997,573
Ukraine,1998,709
Ukraine,1999,1107
Ukraine,2000,1424
Ukraine,2001,555
Ukraine,2002,327
Ukraine,2003,313
Ukraine,2004,196
Ukraine,2005,299
Ukraine,2006,533
Ukraine,2007,640
Ukraine,2008,397
Ukraine,2009,444
Ukraine,2010,519
Ukraine,2011,569
Ukraine,2012,1497
Ukraine,2013,688
Ukraine,2014,632
Ukraine,2015,303
Ukraine,2016,463
Ukraine,2017,377
Ukraine,2018,310
Ukraine,2019,162
Ukraine,2020,114
Ukraine,2021,201
Ukraine,2022,102
Ukraine,2023,29
Ukraine,2024,29
Ukraine,2025,120
