country,year,tiv
United Arab Emirates,1950,
United Arab Emirates,1951,
United Arab Emirates,1952,
United Arab Emirates,1953,
United Arab Emirates,1954,
United Arab Emirates,1955,
United Arab Emirates,1956,
United Arab Emirates,1957,
United Arab Emirates,1958,
United Arab Emirates,1959,
United Arab Emirates,1960,
United Arab Emirates,1961,
United Arab Emirates,1962,
United Arab Emirates,1963,
United Arab Emirates,1964,
United Arab Emirates,1965,
United Arab Emirates,1966,
United Arab Emirates,1967,
United Arab Emirates,1968,
United Arab Emirates,1969,
United Arab Emirates,1970,
United Arab Emirates,1971,
United Arab Emirates,1972,
United Arab Emirates,1973,
United Arab Emirates,1974,8
United Arab Emirates,1975,
United Arab Emirates,1976,
United Arab Emirates,1977,
United Arab Emirates,1978,
United Arab Emirates,1979,
United Arab Emirates,1980,
United Arab Emirates,1981,
United Arab Emirates,1982,
United Arab Emirates,1983,14
United Arab Emirates,1984,
United Arab Emirates,1985,
United Arab Emirates,1986,22
United Arab Emirates,1987,2
United Arab Emirates,1988,
United Arab Emirates,1989,
United Arab Emirates,1990,2
United Arab Emirates,1991,
United Arab Emirates,1992,
United Arab Emirates,1993,
United Arab Emirates,1994,
United Arab Emirates,1995,28
United Arab Emirates,1996,6
United Arab Emirates,1997,37
United Arab Emirates,1998,
United Arab Emirates,1999,
United Arab Emirates,2000,
United Arab Emirates,2001,
United Arab Emirates,2002,
United Arab Emirates,2003,
United Arab Emirates,2004,3
United Arab Emirates,2005,15
United Arab Emirates,2006,17
United Arab Emirates,2007,3
United Arab Emirates,2008,
United Arab Emirates,2009,34
United Arab Emirates,2010,39
United Arab Emirates,2011,3
United Arab Emirates,2012,75
United Arab Emirates,2013,115
United Arab Emirates,2014,100
United Arab Emirates,2015,143
United Arab Emirates,2016,111
United Arab Emirates,2017,106
United Arab Emirates,2018,120
United Arab Emirates,2019,131
United Arab Emirates,2020,209
United Arab Emirates,2021,57
United Arab Emirates,2022,17
United Arab Emirates,2023,64
United Arab Emirates,2024,119
United Arab Emirates,2025,33
