country,year,tiv
United Kingdom,1950,2194
United Kingdom,1951,3357
United Kingdom,1952,3106
United Kingdom,1953,4435
United Kingdom,1954,4514
United Kingdom,1955,4799
United Kingdom,1956,5847
United Kingdom,1957,4916
United Kingdom,1958,3886
United Kingdom,1959,3425
United Kingdom,1960,2187
United Kingdom,1961,1401
United Kingdom,1962,1065
United Kingdom,1963,1244
United Kingdom,1964,1408
United Kingdom,1965,1498
United Kingdom,1966,1421
United Kingdom,1967,1879
United Kingdom,1968,1679
United Kingdom,1969,1615
United Kingdom,1970,982
United Kingdom,1971,2346
United Kingdom,1972,2684
United Kingdom,1973,2791
United Kingdom,1974,2249
United Kingdom,1975,2228
United Kingdom,1976,2522
United Kingdom,1977,2195
United Kingdom,1978,2206
United Kingdom,1979,1543
United Kingdom,1980,1566
United Kingdom,1981,2356
United Kingdom,1982,2515
United Kingdom,1983,2537
United Kingdom,1984,2529
United Kingdom,1985,2142
United Kingdom,1986,1985
United Kingdom,1987,3603
United Kingdom,1988,2527
United Kingdom,1989,3503
United Kingdom,1990,1844
United Kingdom,1991,1525
United Kingdom,1992,1093
United Kingdom,1993,1381
United Kingdom,1994,1526
United Kingdom,1995,1460
United Kingdom,1996,1616
United Kingdom,1997,2363
United Kingdom,1998,1400
United Kingdom,1999,1315
United Kingdom,2000,1619
United Kingdom,2001,1352
United Kingdom,2002,1078
United Kingdom,2003,769
United Kingdom,2004,1231
United Kingdom,2005,990
United Kingdom,2006,957
United Kingdom,2007,924
United Kingdom,2008,931
United Kingdom,2009,1071
United Kingdom,2010,1146
United Kingdom,2011,1001
United Kingdom,2012,813
United Kingdom,2013,1509
United Kingdom,2014,1658
United Kingdom,2015,1183
United Kingdom,2016,1344
United Kingdom,2017,1104
United Kingdom,2018,682
United Kingdom,2019,886
United Kingdom,2020,652
United Kingdom,2021,639
United Kingdom,2022,1740
United Kingdom,2023,1320
United Kingdom,2024,884
United Kingdom,2025,702
