country,year,tiv
United States,1950,1447
United States,1951,3988
United States,1952,6987
United States,1953,9791
United States,1954,6350
United States,1955,7081
United States,1956,8606
United States,1957,8411
United States,1958,9335
United States,1959,7293
United States,1960,6127
United States,1961,6287
United States,1962,6127
United States,1963,9425
United States,1964,12490
United States,1965,12000
United States,1966,8944
United States,1967,7437
United States,1968,8619
United States,1969,11632
United States,1970,8350
United States,1971,11606
United States,1972,10674
United States,1973,12003
United States,1974,12742
United States,1975,15342
United States,1976,15714
United States,1977,14324
United States,1978,13513
United States,1979,9786
United States,1980,10651
United States,1981,13648
United States,1982,13965
United States,1983,13826
United States,1984,11890
United States,1985,10763
United States,1986,11611
United States,1987,12191
United States,1988,12029
United States,1989,11349
United States,1990,10704
United States,1991,12580
United States,1992,14141
United States,1993,13763
United States,1994,11464
United States,1995,11224
United States,1996,10781
United States,1997,14472
United States,1998,15839
United States,1999,11548
United States,2000,7678
United States,2001,5591
United States,2002,4872
United States,2003,5684
United States,2004,6869
United States,2005,6724
United States,2006,7497
United States,2007,7870
United States,2008,7089
United States,2009,7151
United States,2010,8354
United States,2011,9041
United States,2012,8965
United States,2013,7770
United States,2014,9455
United States,2015,10314
United States,2016,9890
United States,2017,11381
United States,2018,9264
United States,2019,10498
United States,2020,9730
United States,2021,11601
United States,2022,14505
United States,2023,10920
United States,2024,13651
United States,2025,13980
